gene,t
GEMIN6,8.73997270804343
GBP5,8.40972032789924
ATP5F1D,-8.36700815413742
ICAM1,8.35526576524228
COX7B2,-8.34987946007762
CIITA,8.30209210481228
ORC5,8.20857676109305
CDK7,8.16159643200834
ATP6V1A,-8.124576587512
ORC3,8.03162327205938
SKP1P2,7.83390399541524
E2F2,7.81725746754952
HLA-DQA2,7.72666481445784
ZBTB17,7.63543106300203
TRIM22,7.59931443091352
ANAPC5,7.57510054316667
TRIM25,7.3684820937946
CAMK2A,7.30133638112441
ORC6,7.24299842853309
ADRM1,7.13851657598308
SMAD4,7.10209595485126
YWHAH,7.02959665482804
CCNA2,6.92825295567326
ANAPC2,6.90958154082061
NDUFB7,-6.88242785176828
MAD1L1,6.82380074633501
CAMK2G,6.77347311510605
MPZL1,6.7317085196506
HLA-DPA1,6.73076513787793
UQCRHL,-6.69758437388492
GADD45A,6.64041386052987
NDUFA1,-6.62702085811354
IFNGR2,6.58305756444117
HDAC2,6.56753402644414
OAS1,6.53193487423154
ORC1,6.49061936809518
CDC7,6.4294803955476
HLA-C,6.42255237201217
IRF3,6.25681603853256
NDUFB1,-6.25578768128333
GBP6,6.24100781891758
IFNGR1,6.14556695411196
YWHAB,6.14438330274542
PTTG2,6.10150715708303
TRIM2,6.09289322340942
ATP6V0D2,-6.06083830588333
NDUFB6,-6.05072070393016
ATP6V1G2,-6.04717659375339
CAMK2B,5.98117113327118
ESPL1,5.93346718246735
ANAPC10,5.89729248155556
WEE1,5.8881405988655
COX6A2,-5.83254566786322
CCND2,5.75874887612739
ATP5PF,-5.75682886268293
ATP6V1E2,-5.75351156958822
ATP5MC3,-5.75299355633449
UQCRC1,-5.74551438441667
OAS3,5.71296302158524
NCAM1,5.6845730504018
MYC,5.67607885597638
PIAS1,5.62782230416979
SDHD,-5.62582940001168
CD44,5.59478606001866
NDUFA6,-5.5704632101091
CDC20,5.55418161361287
CDC16,5.54363060929652
TRIM14,5.53164916255274
TFDP1,5.51031339050918
CD3G,5.44103340860591
IRF5,5.43612938246834
E2F5,5.42375391302911
BUB1B,5.41699367329568
SKP2,5.40279016769511
TIMM13,5.3996856839783
MAPK1,5.37990822853012
MID1,5.36209021584315
E2F4,5.35237933078875
GNLY,5.34517766287066
IRF6,5.34147526900139
TRIM45,5.32366996503782
SMAD7,5.31372064710925
SDHC,-5.25852092345994
CDC14B,5.25691083279369
ATP5F1A,-5.24481477241345
BUB1,5.22248888993261
CDK4,5.2220791150692
MCM7,5.20254381935035
E2F1,5.18026783380764
MT-ND4L,-5.17783669018219
UQCR11,-5.14654850094761
MCM6,5.12467653926926
NDUFA8,-5.11699316665859
COX4I1,-5.11181122262095
IRF4,5.0837570602292
CCNB2,5.04546464366487
EP300,5.04071833209838
CDC27,5.0271764895137
GZMH,4.97890311550489
PIK3IP1,4.97775241607272
NDUFA2,-4.94956856740041
ATP6V1G3,-4.94738467106544
RBL2,4.94627363286577
MT2A,4.94425320211036
HLA-E,4.91409827770714
NDUFV1,-4.90469558685283
NDUFS5,-4.87910894630265
COX5A,-4.86684186368348
PTAFR,4.86494318974945
CCNE1,4.83085630001804
ABCA6,4.82177879936038
CDC14A,4.78520045266224
ATP12A,-4.77708794314219
HLA-H,4.77665948888786
TRIM38,4.76809741266771
HLA-DRB4,4.75672727641415
COX7A2L,-4.71583032808264
CD37,4.70784542159133
CD3E,4.70531602473011
MCM3,4.69824324183525
CDK2,4.69726808042234
UQCRQ,-4.66911694483532
ATP5PO,-4.66420400810106
SDHCP5,-4.6466977754468
ATP6V0B,-4.57974076948417
CDKN2D,4.51027345676389
BCL3,4.49349900627063
CHEK1,4.49040793026388
GZMK,4.47060998894596
NDUFV3,-4.45792794536565
SMAD3,4.45475156063596
FCGR1A,4.45034045906068
COX17,-4.40010771009611
GBP1,4.35543313352005
SOCS3,4.34833053880224
TRIM48,4.34487101911317
HLA-DRA,4.32899001329478
FZR1,4.31630533266587
ATP5ME,-4.29405934381958
E2F3,4.26811821306189
GBP3,4.26374074874742
ANAPC4,4.24800635507047
COX7A2,-4.23783674173465
NDUFS8,-4.22899466668213
CCNH,4.18578049302949
CDC23,4.18259378393746
TRIM17,4.14452115705649
CDC45,4.14211126717152
RAD21,4.14129952126894
IRF9,4.14023941698806
ATP6V0E2,-4.12266178012306
ATP4B,-4.1136612326564
ANAPC11,4.08887054301569
MT-ND4,-4.04014289783796
SMAD2,4.03407397219736
COX7A1,-4.02037679514632
TRIM35,4.01678197413461
MAD2L2,4.00587370377577
RBX1,4.00430023399105
UQCRB,-4.00033964178443
TRIM5,3.99983423391702
TRIM31,3.99038655890085
CYC1,-3.9743843663933
CD3D,3.9665725700626
CDKN1B,3.96129383265946
JAK1,3.95806881076288
UQCRC2,-3.95627465312463
SUMO1,3.94862981240108
OR9I1,3.94486502073145
SMC3,3.93439866635143
ACP5,-3.93151387181817
WEE2,3.9129614167086
ABL1,3.89094585061184
POLR1C,-3.86949089306535
HDAC1,3.86872671978843
ATP6V0A2,-3.85700240657887
HLA-A,3.8567254213325
GBP7,3.84748995131104
ABCA8,3.83850702830268
NDUFA7,-3.83806703419784
ATP6AP1,-3.82348177775653
COX15,-3.82257660034333
OAS2,3.81171468918447
NDUFS2,-3.79924049300453
RAF1,3.79681437723725
ANAPC1,3.78806127181828
ATP6V1C2,-3.78544250051058
ATP5MC2,-3.78229185386796
PRKCD,3.7796517610705
PTPN6,3.77944186771859
CLQB,-3.77240824543339
TRIM10,3.76957132286712
MCM5,3.75753520695686
AHSA1,3.75331476056087
PML,3.74792526266771
TBCD,-3.74652579594691
ATP5MC1,-3.71834285820109
STAG2,3.70471735858567
TRIM21,3.69474852884142
COX7C,-3.69050956615686
COX6CP3,-3.68400609086724
ABCA5,3.67744793102349
MT-CO2,-3.67682083314043
HLA-DRB5,3.66882379952309
NDUFS6,-3.66546365881903
GADD45G,3.65389582500837
COX10,-3.6478763915534
IRF8,3.64174528111858
HLA-DQA1,3.62908952189541
CCNB3,3.61973206828336
ATP6V1B1,-3.60931324520087
UBR1,-3.58838642686804
ATR,3.57361792740273
ATP5MF,-3.57037622060794
ANAPC13,3.55236063103391
CCNA1,3.54931056691603
TRIM46,3.54060092851864
FOXA2,-3.54041217618632
ORC2,3.53466680970936
YWHAZ,3.53156424880389
NDUFA4L2,-3.5240108476215
NDUFB3,-3.52397183596758
IFI30,3.52066823642802
COX6B2,-3.51509739945784
CDC26,3.51036047118334
SYNCRIP,-3.50438341489736
SP100,3.50081360851978
ACRBP,-3.50068491371644
TYR,3.4990609584631
CDKN2B,3.4914338552275
HLA-DRB1,3.46887393429768
YWHAG,3.46479458451065
NDUFB5,-3.45341573087203
JAK2,3.45278959656561
KIF5A,-3.44721215226799
ABCA2,3.44467328907568
IFNG,3.44003567063233
MT-ATP6,-3.43715423188199
TAP1,3.42869739971757
