"NGenes","Correlation","Direction","PValue","FDR","ID"
133,-0.000504066144649322,"Down",9.85661813146763e-20,1.83333097245298e-17,"KEGG_OXIDATIVE_PHOSPHORYLATION"
125,0.00233731759040524,"Up",3.36078842358065e-19,3.12553323393001e-17,"KEGG_CELL_CYCLE"
131,-0.00108217060705121,"Down",9.91370867216319e-17,6.14649937674118e-15,"KEGG_PARKINSONS_DISEASE"
167,3.24567241467593e-06,"Down",2.37190739330417e-14,1.10293693788644e-12,"KEGG_ALZHEIMERS_DISEASE"
183,0.00356207523326599,"Down",1.40178192150342e-11,5.21462874799271e-10,"KEGG_HUNTINGTONS_DISEASE"
113,0.00252285958485791,"Up",1.02709131393555e-10,3.1839830732002e-09,"KEGG_OOCYTE_MEIOSIS"
86,-0.00278995811482587,"Up",1.10052021046543e-08,2.92423941637958e-07,"KEGG_TGF_BETA_SIGNALING_PATHWAY"
79,0.0138963617482865,"Down",1.76605199328522e-07,4.10607088438813e-06,"KEGG_CARDIAC_MUSCLE_CONTRACTION"
85,0.0050790838154412,"Up",3.28793489955046e-07,6.79506545907095e-06,"KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION"
72,-0.000508609141318403,"Up",4.68964902598955e-07,8.72274718834056e-06,"KEGG_LEISHMANIA_INFECTION"
37,0.00644163141969229,"Up",1.22823722519827e-06,2.07683748988071e-05,"KEGG_ALLOGRAFT_REJECTION"
68,0.00436316338344803,"Down",2.9933963327109e-06,4.6397643157019e-05,"KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION"
43,0.00154570321302735,"Up",3.30069268083873e-06,4.72252952796926e-05,"KEGG_TYPE_I_DIABETES_MELLITUS"
88,-0.00287322451883516,"Up",4.51317720232745e-06,5.99607828309219e-05,"KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION"
41,0.0072952529602349,"Up",5.02249430469474e-06,6.22789293782148e-05,"KEGG_GRAFT_VERSUS_HOST_DISEASE"
135,0.000634079956108774,"Up",8.74866264719422e-06,0.000101703203273633,"KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS"
54,0.018613297520517,"Down",1.4479797566849e-05,0.000154972111168487,"KEGG_VIBRIO_CHOLERAE_INFECTION"
73,0.0106228080136575,"Up",1.49973010808214e-05,0.000154972111168487,"KEGG_CHRONIC_MYELOID_LEUKEMIA"
30,0.00403058352541453,"Up",1.75887106999233e-05,0.000162660738414449,"KEGG_ASTHMA"
70,0.00405743275188339,"Up",1.8161153547379e-05,0.000162660738414449,"KEGG_PANCREATIC_CANCER"
52,0.00546671907040045,"Up",1.83649220790507e-05,0.000162660738414449,"KEGG_AUTOIMMUNE_THYROID_DISEASE"
151,-0.000878885516540901,"Up",2.96877169700221e-05,0.000250996152564732,"KEGG_WNT_SIGNALING_PATHWAY"
70,0.000747155412728173,"Up",4.58192491511052e-05,0.000370538275743721,"KEGG_VIRAL_MYOCARDITIS"
68,0.013471945001846,"Up",0.000112766238494479,0.000873938348332213,"KEGG_P53_SIGNALING_PATHWAY"
65,0.0131225300744079,"Up",0.000249528041888339,0.00185648863164924,"KEGG_GLIOMA"
325,0.000869751680036005,"Up",0.000309656235568145,0.00216407271798444,"KEGG_PATHWAYS_IN_CANCER"
87,0.00063656072853311,"Up",0.000314139588094515,0.00216407271798444,"KEGG_HEMATOPOIETIC_CELL_LINEAGE"
70,0.00353968551798542,"Up",0.000580139071169995,0.00385378097277211,"KEGG_LONG_TERM_POTENTIATION"
42,0.00498135653418431,"Up",0.000622167020577246,0.0038967294627778,"KEGG_BLADDER_CANCER"
73,0.00532800628583954,"Up",0.000628504752060935,0.0038967294627778,"KEGG_ADHERENS_JUNCTION"
62,-0.000440337941319567,"Up",0.00149345959765365,0.00896075758592189,"KEGG_COLORECTAL_CANCER"
155,-0.00173987139415224,"Up",0.00155340317144912,0.00902915593404802,"KEGG_JAK_STAT_SIGNALING_PATHWAY"
35,-0.00568675035969589,"Up",0.00187827523003276,0.0105866422056392,"KEGG_PRIMARY_IMMUNODEFICIENCY"
133,2.79153860473485e-05,"Up",0.00231080681312333,0.0119742514203477,"KEGG_CELL_ADHESION_MOLECULES_CAMS"
126,0.00231002572794253,"Up",0.00231097179487166,0.0119742514203477,"KEGG_NEUROTROPHIN_SIGNALING_PATHWAY"
137,0.00207588882759051,"Up",0.00231759704909955,0.0119742514203477,"KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY"
89,0.00704152304968467,"Up",0.00274349215011977,0.0137916091870886,"KEGG_PROSTATE_CANCER"
71,0.00192957639482269,"Up",0.00477412689995578,0.0233680948260993,"KEGG_MELANOMA"
108,0.00143223217827636,"Up",0.00535366154743911,0.0255328473800942,"KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY"
29,-0.0036528173515486,"Up",0.00658919116130606,0.0306397389000732,"KEGG_THYROID_CANCER"
84,0.0137494057747222,"Up",0.00809694630418612,0.0367324881116736,"KEGG_SMALL_CELL_LUNG_CANCER"
121,-0.0018662644183415,"Down",0.0118680136825918,0.052558346308621,"KEGG_LYSOSOME"
48,0.00408373766588189,"Up",0.0131399072313824,0.0568377382566776,"KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION"
44,0.539509297304464,"Up",0.014103386859909,0.0596188626350699,"KEGG_ABC_TRANSPORTERS"
62,-0.00434419346997004,"Up",0.0195275657212045,0.0807139383143119,"KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY"
87,0.00433055237202469,"Up",0.0529526284714041,0.214112802080025,"KEGG_ERBB_SIGNALING_PATHWAY"
57,0.00435071724568916,"Up",0.0551101220743586,0.218095376719802,"KEGG_ACUTE_MYELOID_LEUKEMIA"
101,0.0100911110408164,"Up",0.0602288364583312,0.233386741276033,"KEGG_MELANOGENESIS"
264,-0.000463313462840147,"Up",0.0618461731604929,0.234763024650034,"KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION"
70,0.00356910043141018,"Up",0.0669144210241015,0.241162663166332,"KEGG_RENAL_CELL_CARCINOMA"
26,0.00204554053567474,"Down",0.0669238565664214,0.241162663166332,"KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES"
42,0.0610220414076402,"Down",0.0674218198099421,0.241162663166332,"KEGG_FATTY_ACID_METABOLISM"
54,0.0330896083543351,"Up",0.0774861653061165,0.271932580130899,"KEGG_NON_SMALL_CELL_LUNG_CANCER"
58,0.0420638366492051,"Down",0.084902352610276,0.292441436768728,"KEGG_ARACHIDONIC_ACID_METABOLISM"
13,-0.0436187302112177,"Up",0.0866666733790678,0.293090931791029,"KEGG_CIRCADIAN_RHYTHM_MAMMAL"
44,0.078929387335176,"Down",0.0924042877331996,0.306914241399556,"KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION"
29,0.218595102105742,"Down",0.112065006699696,0.361937484252204,"KEGG_LINOLEIC_ACID_METABOLISM"
26,-0.00732858841281903,"Down",0.112862226272193,0.361937484252204,"KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE"
36,-0.00717311908995474,"Up",0.135255786333478,0.426399597593678,"KEGG_DNA_REPLICATION"
53,-0.00974088759385003,"Up",0.141671575808579,0.439181885006596,"KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS"
22,0.122088842955048,"Down",0.145806633889844,0.444590719729687,"KEGG_BETA_ALANINE_METABOLISM"
56,-0.00206414520304874,"Up",0.157425723851256,0.46495643923852,"KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION"
272,4.59571056024437e-05,"Down",0.157485245548531,0.46495643923852,"KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION"
47,-0.00421589914462108,"Up",0.163555291496561,0.470142379408003,"KEGG_NOTCH_SIGNALING_PATHWAY"
33,0.349898835967024,"Down",0.166773590166517,0.470142379408003,"KEGG_PROPANOATE_METABOLISM"
19,0.488936011062774,"Down",0.166824715273808,0.470142379408003,"KEGG_ALPHA_LINOLENIC_ACID_METABOLISM"
14,-0.0173476910473866,"Down",0.171271671208192,0.475470609622742,"KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GLOBO_SERIES"
10,0.235548547192847,"Down",0.182908143797609,0.486160240074253,"KEGG_LIMONENE_AND_PINENE_DEGRADATION"
22,0.00848104293843719,"Down",0.182924254922335,0.486160240074253,"KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE"
77,0.0963673907168319,"Down",0.18296353121074,0.486160240074253,"KEGG_GLYCEROPHOSPHOLIPID_METABOLISM"
33,0.626282598436397,"Down",0.190978089747033,0.490890611379551,"KEGG_ETHER_LIPID_METABOLISM"
13,-0.0138581039049551,"Down",0.191776295315392,0.490890611379551,"KEGG_SULFUR_METABOLISM"
32,0.0386313494125434,"Down",0.192661368982297,0.490890611379551,"KEGG_CITRATE_CYCLE_TCA_CYCLE"
389,0.000892121415992111,"Up",0.215158556481749,0.536087246347059,"KEGG_OLFACTORY_TRANSDUCTION"
26,0.0971615689203635,"Down",0.216164212236717,0.536087246347059,"KEGG_GALACTOSE_METABOLISM"
90,0.0056129477839348,"Up",0.234356524750278,0.573556757941471,"KEGG_GAP_JUNCTION"
71,-0.000702578618111336,"Up",0.237451590855455,0.573584362326164,"KEGG_RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY"
44,0.585236600339946,"Down",0.255754313835986,0.609875671455043,"KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM"
69,0.641207924530501,"Down",0.261075273119786,0.614683554433927,"KEGG_COMPLEMENT_AND_COAGULATION_CASCADES"
34,0.0629326391157559,"Down",0.276742328611595,0.633884935110188,"KEGG_BUTANOATE_METABOLISM"
52,0.145632552649963,"Down",0.277645325206151,0.633884935110188,"KEGG_STARCH_AND_SUCROSE_METABOLISM"
75,0.000858842860807192,"Up",0.279454648812018,0.633884935110188,"KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY"
15,0.000964773245997609,"Down",0.289372121465426,0.648472464970713,"KEGG_TERPENOID_BACKBONE_BIOSYNTHESIS"
22,0.00337741410196673,"Down",0.301634621312168,0.665372870946694,"KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS"
47,0.00385862671832796,"Up",0.30406824747564,0.665372870946694,"KEGG_TYPE_II_DIABETES_MELLITUS"
64,0.633024223552263,"Down",0.309187816719704,0.668708533835639,"KEGG_RETINOL_METABOLISM"
11,0.0114303278086846,"Up",0.314483470857879,0.672343972178914,"KEGG_FOLATE_BIOSYNTHESIS"
181,0.00108612241555882,"Up",0.318798456544821,0.67382401042428,"KEGG_ENDOCYTOSIS"
159,0.00754531785905075,"Down",0.334216451799124,0.698474831849854,"KEGG_PURINE_METABOLISM"
98,0.00549319507791769,"Down",0.339337645482911,0.701297800664682,"KEGG_PYRIMIDINE_METABOLISM"
16,0.0443614126961038,"Up",0.35180433273912,0.713573111704408,"KEGG_PRIMARY_BILE_ACID_BIOSYNTHESIS"
139,0.00470744849864634,"Up",0.352950141273148,0.713573111704408,"KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS"
62,0.0989342775972392,"Down",0.357538953224622,0.715077906449244,"KEGG_GLYCOLYSIS_GLUCONEOGENESIS"
74,0.00788989166297968,"Down",0.375226227862984,0.742468918962925,"KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC"
32,0.0245415534969188,"Down",0.396969615734009,0.775027943737507,"KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM"
15,-0.00499397915157615,"Down",0.400014422574197,0.775027943737507,"KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GANGLIO_SERIES"
129,-0.00138554550720666,"Up",0.405742898986639,0.778022466098091,"KEGG_AXON_GUIDANCE"
41,0.140705461990427,"Down",0.413346337389056,0.781166245541578,"KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM"
25,0.392679891982084,"Down",0.415782033917292,0.781166245541578,"KEGG_ASCORBATE_AND_ALDARATE_METABOLISM"
199,0.00478243121984259,"Up",0.43323858332166,0.803477413595223,"KEGG_FOCAL_ADHESION"
21,-0.000493264026692708,"Down",0.442810615527106,0.803477413595223,"KEGG_GLYCOSAMINOGLYCAN_DEGRADATION"
51,0.16209182008194,"Down",0.445324830925332,0.803477413595223,"KEGG_DRUG_METABOLISM_OTHER_ENZYMES"
42,0.0650203979363704,"Down",0.449445143852609,0.803477413595223,"KEGG_TYROSINE_METABOLISM"
52,0.0162638498588782,"Up",0.455241842479697,0.803477413595223,"KEGG_ENDOMETRIAL_CANCER"
132,0.00384396233281887,"Up",0.455783480830415,0.803477413595223,"KEGG_TIGHT_JUNCTION"
178,0.00314685064152786,"Up",0.45789573032846,0.803477413595223,"KEGG_CALCIUM_SIGNALING_PATHWAY"
27,0.0711878175756402,"Down",0.46535729842288,0.80893885520239,"KEGG_PENTOSE_PHOSPHATE_PATHWAY"
46,-6.68006433974528e-05,"Down",0.473163346293181,0.812382687495572,"KEGG_N_GLYCAN_BIOSYNTHESIS"
16,0.00184817131210195,"Down",0.476073725467835,0.812382687495572,"KEGG_PANTOTHENATE_AND_COA_BIOSYNTHESIS"
10,0.0876899467078552,"Down",0.485421399595549,0.816769808201306,"KEGG_TAURINE_AND_HYPOTAURINE_METABOLISM"
25,0.0166064776513853,"Down",0.487427143604005,0.816769808201306,"KEGG_MATURITY_ONSET_DIABETES_OF_THE_YOUNG"
96,0.0208586283132153,"Up",0.501259543078059,0.831450515317217,"KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS"
87,-0.00214620391561612,"Up",0.505128538875513,0.831450515317217,"KEGG_APOPTOSIS"
49,0.529037972477561,"Down",0.517683202118033,0.842862932745758,"KEGG_GLYCEROLIPID_METABOLISM"
28,0.282767570458445,"Down",0.527430908832988,0.842862932745758,"KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS"
23,0.00419658824501358,"Down",0.529155798482962,0.842862932745758,"KEGG_PROXIMAL_TUBULE_BICARBONATE_RECLAMATION"
69,0.00733080067897914,"Down",0.535179320499389,0.842862932745758,"KEGG_PPAR_SIGNALING_PATHWAY"
17,-0.00791468263201466,"Up",0.537781686923195,0.842862932745758,"KEGG_RENIN_ANGIOTENSIN_SYSTEM"
67,0.00180709028744585,"Up",0.539251016111533,0.842862932745758,"KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY"
29,0.0259569686444496,"Down",0.560726012026972,0.860246421195509,"KEGG_RNA_POLYMERASE"
102,-0.00175550833982416,"Up",0.573523104481739,0.860246421195509,"KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY"
29,0.0267275223292153,"Down",0.578542119310493,0.860246421195509,"KEGG_HISTIDINE_METABOLISM"
24,0.0244088873314417,"Up",0.580172018254914,0.860246421195509,"KEGG_DORSO_VENTRAL_AXIS_FORMATION"
16,-0.00759657771554546,"Down",0.584237785807089,0.860246421195509,"KEGG_GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM"
35,-0.00290846448328348,"Up",0.587494529118381,0.860246421195509,"KEGG_BASE_EXCISION_REPAIR"
47,-0.00659175983362578,"Down",0.594392876969995,0.860246421195509,"KEGG_PROTEASOME"
52,0.00519205505246971,"Down",0.595155129590233,0.860246421195509,"KEGG_TASTE_TRANSDUCTION"
38,0.523406146312057,"Up",0.598123174492854,0.860246421195509,"KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT"
17,0.0623284094771757,"Down",0.602566051993875,0.860246421195509,"KEGG_STEROID_BIOSYNTHESIS"
40,0.0255834345112204,"Down",0.613877581950537,0.860246421195509,"KEGG_TRYPTOPHAN_METABOLISM"
101,0.0208857009291314,"Up",0.618802131810365,0.860246421195509,"KEGG_GNRH_SIGNALING_PATHWAY"
79,0.0294499819707926,"Down",0.618944072679023,0.860246421195509,"KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY"
41,0.71545956586132,"Up",0.62873249194025,0.860246421195509,"KEGG_AMINOACYL_TRNA_BIOSYNTHESIS"
25,0.00508721788827593,"Down",0.629199773729974,0.860246421195509,"KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS"
267,0.00202744914928919,"Up",0.631652327402448,0.860246421195509,"KEGG_MAPK_SIGNALING_PATHWAY"
115,0.0126454309282212,"Down",0.634064937779486,0.860246421195509,"KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION"
15,0.0583218228616023,"Down",0.634697845006301,0.860246421195509,"KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE"
127,0.00219832329115573,"Down",0.645862042427441,0.860246421195509,"KEGG_SPLICEOSOME"
55,0.129331494305939,"Down",0.646475974563017,0.860246421195509,"KEGG_STEROID_HORMONE_BIOSYNTHESIS"
39,0.000941840508819005,"Down",0.647497306276189,0.860246421195509,"KEGG_SPHINGOLIPID_METABOLISM"
76,0.0474380276793172,"Down",0.657445814516268,0.867268946808695,"KEGG_VEGF_SIGNALING_PATHWAY"
28,0.00371128764000024,"Up",0.669531515723102,0.876991985383782,"KEGG_HOMOLOGOUS_RECOMBINATION"
72,0.597713863168189,"Down",0.679718731221852,0.882363767197705,"KEGG_DRUG_METABOLISM_CYTOCHROME_P450"
44,0.00529433282193765,"Up",0.683120335894998,0.882363767197705,"KEGG_NUCLEOTIDE_EXCISION_REPAIR"
70,0.496424388832862,"Down",0.708629896630412,0.900168038423161,"KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450"
