"NGenes","Direction","PValue","FDR","ID"
125,"Up",1.13086255059596e-108,2.10340434410848e-106,"KEGG_CELL_CYCLE"
133,"Down",2.81430666455524e-92,2.61730519803637e-90,"KEGG_OXIDATIVE_PHOSPHORYLATION"
131,"Down",3.87322280108356e-50,2.4013981366718e-48,"KEGG_PARKINSONS_DISEASE"
44,"Up",1.03815632651858e-27,4.82742691831141e-26,"KEGG_ABC_TRANSPORTERS"
167,"Down",9.47556915325823e-27,3.52491172501206e-25,"KEGG_ALZHEIMERS_DISEASE"
183,"Down",3.58999393729593e-22,1.11289812056174e-20,"KEGG_HUNTINGTONS_DISEASE"
113,"Up",6.80275917157396e-19,1.80759029416108e-17,"KEGG_OOCYTE_MEIOSIS"
79,"Down",6.76114137281884e-16,1.57196536918038e-14,"KEGG_CARDIAC_MUSCLE_CONTRACTION"
86,"Up",8.02500589351577e-11,1.65850121799326e-09,"KEGG_TGF_BETA_SIGNALING_PATHWAY"
85,"Up",2.43037970529211e-10,4.52050625184333e-09,"KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION"
54,"Down",2.99109903395011e-10,5.05767654831564e-09,"KEGG_VIBRIO_CHOLERAE_INFECTION"
37,"Up",3.49480601483326e-10,5.41694932299155e-09,"KEGG_ALLOGRAFT_REJECTION"
69,"Down",3.16319365687238e-09,4.52580015521741e-08,"KEGG_COMPLEMENT_AND_COAGULATION_CASCADES"
41,"Up",9.13628851631856e-09,1.21382118859661e-07,"KEGG_GRAFT_VERSUS_HOST_DISEASE"
73,"Up",2.28713674891344e-08,2.83604956865267e-07,"KEGG_CHRONIC_MYELOID_LEUKEMIA"
68,"Down",4.71297962378715e-08,5.47883881265256e-07,"KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION"
72,"Up",7.36699458858519e-08,7.93773938951291e-07,"KEGG_LEISHMANIA_INFECTION"
33,"Down",7.68168328017378e-08,7.93773938951291e-07,"KEGG_ETHER_LIPID_METABOLISM"
43,"Up",9.30627889521789e-08,9.11035723426594e-07,"KEGG_TYPE_I_DIABETES_MELLITUS"
64,"Down",2.02577301658011e-07,1.8839689054195e-06,"KEGG_RETINOL_METABOLISM"
30,"Up",3.89788348716731e-07,3.4524110886339e-06,"KEGG_ASTHMA"
52,"Up",5.66165272467003e-07,4.70511179574714e-06,"KEGG_AUTOIMMUNE_THYROID_DISEASE"
68,"Up",5.81814899474108e-07,4.70511179574714e-06,"KEGG_P53_SIGNALING_PATHWAY"
44,"Down",6.40162630134704e-07,4.96126038354396e-06,"KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM"
70,"Up",2.16783777856095e-06,1.61287130724934e-05,"KEGG_PANCREATIC_CANCER"
65,"Up",3.92676306583147e-06,2.80914588555636e-05,"KEGG_GLIOMA"
88,"Up",9.87336278272409e-06,6.8016499169877e-05,"KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION"
33,"Down",1.43597723453137e-05,9.53899162938694e-05,"KEGG_PROPANOATE_METABOLISM"
19,"Down",3.87371476519526e-05,0.000248452050457351,"KEGG_ALPHA_LINOLENIC_ACID_METABOLISM"
70,"Up",6.50802528036814e-05,0.000403497567382825,"KEGG_VIRAL_MYOCARDITIS"
135,"Up",8.50931800422799e-05,0.000510559080253679,"KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS"
29,"Down",9.7046178426039e-05,0.000564080912101351,"KEGG_LINOLEIC_ACID_METABOLISM"
42,"Up",0.000229270031274359,0.00129224926718275,"KEGG_BLADDER_CANCER"
73,"Up",0.000352664768889468,0.00192928373568944,"KEGG_ADHERENS_JUNCTION"
70,"Up",0.000565573990431335,0.00300562177772081,"KEGG_LONG_TERM_POTENTIATION"
151,"Up",0.000869612937813728,0.00449300017870426,"KEGG_WNT_SIGNALING_PATHWAY"
87,"Up",0.0012854147201046,0.00646181453890419,"KEGG_HEMATOPOIETIC_CELL_LINEAGE"
84,"Up",0.00165199110473852,0.0080860617231938,"KEGG_SMALL_CELL_LUNG_CANCER"
89,"Up",0.0017420795179904,0.00830837923964651,"KEGG_PROSTATE_CANCER"
