"ID","setSize","enrichmentScore","NES","pvalue","p.adjust","core_enrichment"
"KEGG_OXIDATIVE_PHOSPHORYLATION",133,-0.93743673112115,-4.10604925631624,4.24258515220514e-101,7.89120838310156e-99,"ATP6V1G1/COX8A/NDUFA4/NDUFA5/MT-CO3/LHPP/NDUFC1/NDUFV2/ATP6V0D1/COX11/NDUFB9/COX6C/NDUFA9/MT-CYB/NDUFS4/COX5B/NDUFB4/ATP6V1B2/PPA2/MT-ND5/ATP5F1B/NDUFS3/SDHB/NDUFB8/UQCRFS1/TCIRG1/NDUFA10/MT-ND3/UQCRH/ATP5F1E/MT-CO1/COX7B/UQCR10P1/ATP6V1C1/ATP4A/COX8C/ATP6V1E1/ATP6V0A4/NDUFAB1/UQCR10/NDUFS7/ATP6V0C/NDUFS1/MT-ND6/ATP5PB/ATP6V1D/NDUFB2/ATP6V1F/ATP6V0A1/MT-ND2/ATP5MG/NDUFC2/COX4I2/ATP5F1C/MT-ATP6/NDUFB5/COX6B2/NDUFB3/NDUFA4L2/ATP5MF/ATP6V1B1/COX10/NDUFS6/MT-CO2/COX6CP3/COX7C/ATP5MC1/ATP5MC2/ATP6V1C2/NDUFS2/COX15/ATP6AP1/NDUFA7/ATP6V0A2/UQCRC2/CYC1/UQCRB/COX7A1/MT-ND4/ATP4B/ATP6V0E2/NDUFS8/COX7A2/ATP5ME/COX17/NDUFV3/ATP6V0B/SDHCP5/ATP5PO/UQCRQ/COX7A2L/ATP12A/COX5A/NDUFS5/NDUFV1/ATP6V1G3/NDUFA2/COX4I1/NDUFA8/UQCR11/MT-ND4L/ATP5F1A/SDHC/NDUFA6/SDHD/UQCRC1/ATP5MC3/ATP6V1E2/ATP5PF/COX6A2/ATP6V1G2/NDUFB6/ATP6V0D2/NDUFB1/NDUFA1/UQCRHL/NDUFB7/ATP6V1A/COX7B2/ATP5F1D"
"KEGG_CELL_CYCLE",125,0.920117864700696,3.65945096024649,2.01089864129618e-74,1.87013573640545e-72,"ORC5/CDK7/ORC3/SKP1P2/E2F2/ZBTB17/ANAPC5/ORC6/SMAD4/YWHAH/CCNA2/ANAPC2/MAD1L1/GADD45A/HDAC2/ORC1/CDC7/YWHAB/PTTG2/ESPL1/ANAPC10/WEE1/CCND2/MYC/CDC20/CDC16/TFDP1/E2F5/BUB1B/SKP2/E2F4/CDC14B/BUB1/CDK4/MCM7/E2F1/MCM6/CCNB2/EP300/CDC27/RBL2/CCNE1/CDC14A/MCM3/CDK2/CDKN2D/CHEK1/SMAD3/FZR1/E2F3/ANAPC4/CCNH/CDC23/CDC45/RAD21/ANAPC11/SMAD2/MAD2L2/RBX1/CDKN1B/SMC3/WEE2/ABL1/HDAC1/ANAPC1/MCM5/STAG2/GADD45G/CCNB3/ATR/ANAPC13/CCNA1/ORC2/YWHAZ/CDC26/CDKN2B/YWHAG/TTK/BUB3/TGFB3/SKP1/DBF4/CDC25A/SMC1B/YWHAE/TGFB2/MCM4/CHEK2/MDM2/GADD45B/PLK1/CCNB1/RB1/CUL1/PTTG1/CDKN2C/ANAPC7/ORC4/CREBBP/PRKDC/CDK6/SFN/CDC25B/SMC1A/ATM/MCM2/CDK1/PKMYT1/PCNA/CCND3"
"KEGG_PARKINSONS_DISEASE",131,-0.877660699483252,-3.84407952286805,1.74812284983513e-66,1.08383616689778e-64,"COX8A/NDUFA4/TH/NDUFA5/MT-CO3/NDUFC1/NDUFV2/CASP3/NDUFB9/COX6C/NDUFA9/MT-CYB/NDUFS4/COX5B/SEPTIN5/NDUFB4/MT-ND5/ATP5F1B/NDUFS3/SDHB/NDUFB8/UQCRFS1/NDUFA10/MT-ND3/UQCRH/ATP5F1E/MT-CO1/COX7B/UQCR10P1/COX8C/NDUFAB1/UQCR10/NDUFS7/NDUFS1/MT-ND6/ATP5PB/NDUFB2/MT-ND2/NDUFC2/COX4I2/ATP5F1C/MT-ATP6/NDUFB5/COX6B2/NDUFB3/NDUFA4L2/NDUFS6/MT-CO2/COX6CP3/COX7C/ATP5MC1/ATP5MC2/NDUFS2/NDUFA7/UQCRC2/CYC1/UQCRB/COX7A1/MT-ND4/NDUFS8/COX7A2/NDUFV3/SDHCP5/ATP5PO/UQCRQ/COX7A2L/COX5A/NDUFS5/NDUFV1/NDUFA2/COX4I1/NDUFA8/UQCR11/MT-ND4L/ATP5F1A/SDHC/NDUFA6/SDHD/UQCRC1/ATP5MC3/ATP5PF/COX6A2/NDUFB6/NDUFB1/NDUFA1/UQCRHL/NDUFB7/COX7B2/ATP5F1D"
"KEGG_HUNTINGTONS_DISEASE",183,-0.76483400432153,-3.60134397448658,1.85837439725881e-51,8.64144094725348e-50,"COX8A/NDUFA4/NDUFA5/MT-CO3/TAF4/NDUFC1/NDUFV2/CASP3/NDUFB9/COX6C/NDUFA9/MT-CYB/NDUFS4/COX5B/NDUFB4/ATP5F1B/NDUFS3/POLR2H/SDHB/NDUFB8/UQCRFS1/NDUFA10/HAP1/UQCRH/ATP5F1E/MT-CO1/COX7B/UQCR10P1/COX8C/NDUFAB1/UQCR10/NDUFS7/NDUFS1/ATP5PB/NDUFB2/NDUFC2/COX4I2/ATP5F1C/MT-ATP6/NDUFB5/COX6B2/NDUFB3/NDUFA4L2/NDUFS6/MT-CO2/COX6CP3/COX7C/ATP5MC1/ATP5MC2/NDUFS2/NDUFA7/UQCRC2/CYC1/UQCRB/COX7A1/NDUFS8/COX7A2/NDUFV3/SDHCP5/ATP5PO/UQCRQ/COX7A2L/COX5A/NDUFS5/NDUFV1/NDUFA2/COX4I1/NDUFA8/UQCR11/ATP5F1A/SDHC/NDUFA6/SDHD/UQCRC1/ATP5MC3/ATP5PF/COX6A2/NDUFB6/NDUFB1/NDUFA1/UQCRHL/NDUFB7/COX7B2/ATP5F1D"
"KEGG_ALZHEIMERS_DISEASE",167,-0.780548332689931,-3.60123459566464,5.62081722939314e-50,2.09094400933425e-48,"COX8A/NDUFA4/NDUFA5/MT-CO3/NDUFC1/NDUFV2/CASP3/GAPDH/NDUFB9/COX6C/NDUFA9/MT-CYB/NDUFS4/COX5B/NDUFB4/ATP5F1B/NDUFS3/SDHB/NDUFB8/UQCRFS1/NDUFA10/UQCRH/ATP5F1E/MT-CO1/COX7B/UQCR10P1/CACNA1S/COX8C/NDUFAB1/UQCR10/NDUFS7/NDUFS1/ATP5PB/NDUFB2/NDUFC2/COX4I2/ATP5F1C/MT-ATP6/NDUFB5/COX6B2/NDUFB3/NDUFA4L2/NDUFS6/MT-CO2/COX6CP3/COX7C/ATP5MC1/ATP5MC2/NDUFS2/NDUFA7/UQCRC2/CYC1/UQCRB/COX7A1/NDUFS8/COX7A2/NDUFV3/SDHCP5/ATP5PO/UQCRQ/COX7A2L/COX5A/NDUFS5/NDUFV1/NDUFA2/COX4I1/NDUFA8/UQCR11/ATP5F1A/SDHC/NDUFA6/SDHD/UQCRC1/ATP5MC3/ATP5PF/COX6A2/NDUFB6/NDUFB1/NDUFA1/UQCRHL/NDUFB7/COX7B2/ATP5F1D"
"KEGG_OOCYTE_MEIOSIS",113,0.753948623203401,2.94380284677789,5.86593318661361e-25,1.81843928785022e-23,"SKP1P2/ANAPC5/CAMK2A/YWHAH/ANAPC2/CAMK2G/YWHAB/PTTG2/CAMK2B/ESPL1/ANAPC10/CDC20/CDC16/MAPK1/BUB1/CCNB2/CDC27/CCNE1/CDK2/ANAPC4/CDC23/ANAPC11/MAD2L2/RBX1/SMC3/ANAPC1/ANAPC13/YWHAZ/CDC26/YWHAG/SKP1/SMC1B/YWHAE/MAPK3/PLK1/CCNB1/SLK/CUL1/PTTG1/ANAPC7/CAMK2D/SMC1A/CDK1/PKMYT1/PPP3CC/ITPR3"
"KEGG_ABC_TRANSPORTERS",44,0.901380752585523,2.98443545436909,1.2492097517646e-23,3.31932876897452e-22,"ABCA6/ABCA8/ABCA5/ABCA2/TAP1/CFTR/ABCD1/ABCC11/ABCD4/ABCG5/ABCA3/ABCB5/ABCB10/ABCC1/ABCC2/ABCB9/TAP2/ABCG8/ABCA12/ABCB8/ABCD3/ABCA13/ABCA7/ABCC12/ABCB6/ABCA4/ABCC10/ABCG2/ABCG1/ABCC5/ABCA10/ABCC9/ABCG4/ABCC8/ABCB4/ABCA9/ABCB7/ABCB1/ABCC3/ABCB11"
"KEGG_CARDIAC_MUSCLE_CONTRACTION",79,-0.764162525344553,-3.1287570715705,1.66016053797642e-22,3.85987325079518e-21,"CACNG1/TNNC1/SLC9A1/CACNA2D1/COX8A/MYL3/MT-CO3/COX6C/MT-CYB/COX5B/UQCRFS1/UQCRH/MT-CO1/COX7B/UQCR10P1/CACNA1S/COX8C/UQCR10/COX4I2/COX6B2/MT-CO2/COX6CP3/COX7C/UQCRC2/CYC1/UQCRB/COX7A1/COX7A2/UQCRQ/COX7A2L/COX5A/COX4I1/UQCR11/UQCRC1/COX6A2/UQCRHL/COX7B2"
"KEGG_VIBRIO_CHOLERAE_INFECTION",54,-0.758554076672064,-2.8471142363984,6.80897668677017e-15,1.40718851526583e-13,"ATP6V1G1/ATP6V0D1/ARF1/ATP6V1B2/TCIRG1/ATP6V1C1/ATP6V1E1/ATP6V0A4/ATP6V0C/ATP6V1D/ATP6V1F/ATP6V0A1/ATP6V1B1/ATP6V1C2/ATP6AP1/ATP6V0A2/ATP6V0E2/ATP6V0B/ATP6V1G3/ATP6V1E2/ATP6V1G2/ATP6V0D2/ATP6V1A"
"KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION",85,0.709290773232774,2.63876452528415,9.98217447052541e-15,1.85668445151773e-13,"ANAPC5/CCNA2/ANAPC2/ANAPC10/CDC16/MAPK1/BUB1/CCNB2/CDC27/CDK2/FZR1/ANAPC4/CDC23/ANAPC11/MAD2L2/RAF1/ANAPC1/CCNB3/ANAPC13/CCNA1/CDC26/CDC25A/MAPK3/PLK1/CCNB1/ANAPC7/CDC25B/MAPK13/CDK1/PKMYT1"
