"","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","S12","S13","S14","S15","S16","S17","S18","S19","S20","S21","S22","S23","S24"
"KEGG_ABC_TRANSPORTERS",0.456264756170088,0.297445821347309,-0.0850437501188951,0.17187525754009,0.648080056508497,0.729636916327427,0.698433714777611,0.279080786221082,0.459986543836896,0.319496476277093,0.248787662860855,-0.56560606604791,-0.819582595923671,-0.490123135816845,-0.470348135125428,0.427138065047013,-0.274499213009776,0.0528737377647777,-0.324569299839386,0.511320387394372,-0.174725304513341,-0.475703472518391,-0.771989293591361,-0.54746641645027
"KEGG_ACUTE_MYELOID_LEUKEMIA",0.080495225631541,-0.113621478258346,0.223383817383402,-0.22081423325708,0.288129563551369,0.12404803019031,-0.0122996036144147,0.171205687945474,0.057781211943396,0.0480980703549018,-0.0815900448763035,0.0931877764949184,0.106366810656752,-0.0206682301041348,-0.367401215081263,-0.105296122922085,-0.203054086124184,-0.0385699452390927,-0.1533646235641,0.041655250405968,0.124355278466076,-0.098580536905309,-0.0296703401317509,-0.0826591023411463
"KEGG_ADHERENS_JUNCTION",0.155367939985444,-0.0713132769595733,0.0268894195588206,0.117963864684746,0.142426858077687,0.189474343108708,-0.0924480768421494,0.366562766546963,-0.148936668969085,0.164064895433873,0.213485418175396,0.21469955533493,-0.309446158428247,0.110772403438124,-0.146510452102188,-0.235867254785028,-0.112185494841182,-0.153046024387717,-0.131880143714658,-0.0868443411127147,-0.311728698764166,-0.0385425238329559,0.046049688717917,0.0118333135546336
"KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY",-0.021137452753217,0.166816811429573,0.00438638373100486,0.195780395375614,0.254279363252165,-0.130423409125861,0.0678296395527622,-0.100761272731719,-0.213489104988758,-0.14558874653323,0.102255569607041,0.113162245334112,-0.100855638600646,0.116425158673107,-0.192437457102883,0.144653062173566,-0.161452630062813,-0.067178815021984,0.20832799227885,-0.0306490364965473,-0.145025579787862,-0.00962969771687755,-0.0596161569109054,0.0694544172084104
"KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM",-0.41434812219332,-0.119773066429723,0.190361446790945,-0.197267759662647,0.152881271841682,-0.137710602167746,-0.00325593893731407,-0.0483430378052471,-0.323108296748376,0.00641225693730949,-0.00676779872475441,0.274460584332528,0.0710279487254283,0.288434852812691,-0.30753529188754,-0.266386351052049,0.23805061453799,0.276007160045537,0.298831667268373,0.322147634667574,0.0622960480830871,-0.331261555854388,-0.136498095532797,0.221402457157892
"KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION",0.191396159724039,-0.239608691898249,-0.1772454697271,-0.293810515988522,0.0634725145723522,-0.0213842879795829,-0.15452978591951,-0.0428837540826504,-0.0438491997911096,0.293614520398815,0.0701509935289417,0.333934260544268,0.0999507776176947,0.086366516133863,-0.144641193320517,0.0244752849904503,-0.0887294404768009,-0.20112074686483,-0.0168107088734276,-0.103060367971208,0.151664873201969,0.105122525130854,0.266501202661873,-0.161101189348849
"KEGG_ALLOGRAFT_REJECTION",0.339780444675013,0.0430182204780823,0.122967125074183,0.278441082887734,0.285901596760691,0.37909701133253,0.256892247389014,0.188441666196449,0.309858471690828,-0.08470552924278,0.391001598090414,0.343698649015306,-0.341362967134488,-0.35562626240983,-0.182253320269298,-0.227349178202655,-0.439982245310292,0.0723101611056212,-0.181557431478857,-0.308089435735796,-0.26930504699947,0.0182011809788493,-0.163018277885697,-0.376546642855917
"KEGG_ALPHA_LINOLENIC_ACID_METABOLISM",-0.318204513632327,-0.345657544307294,0.341940620329867,0.137350656574341,0.254012642621498,-0.641565499150373,-0.145931929207351,-0.274213229374733,-0.563276679975504,-0.471498742678991,-0.323352703538691,0.143551222235882,0.903260688916936,-0.613121599283138,-0.70359994954428,0.300181234100968,0.589520728229296,-0.0726641047364016,0.512389874696017,0.388936336149988,0.564691648430997,0.426675377300274,-0.475348902890575,0.377095269807613
"KEGG_ALZHEIMERS_DISEASE",-0.211659546994288,-0.222852471601376,-0.246634631388032,-0.222649049838841,-0.332424391462235,-0.174227585572257,-0.324114153312029,-0.260185868225435,-0.310756416460359,-0.320144066719715,-0.227953561201925,-0.280933365447087,0.277434031706411,0.311712868285285,0.287392575886093,0.304269112469292,0.294992199318113,0.278579301369421,0.128341131801777,0.23218182452949,0.370774361480223,0.238810521278201,0.298435304691698,0.230776057953707
"KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM",-0.625690916633758,0.203525920786084,-0.0039090402585007,0.210866151313452,-0.595190204281505,-0.607797190623093,0.787400813767857,-0.3799101443668,-0.493232323565371,0.174773967576765,-0.695680600032992,0.533059905357496,0.538445592744137,-0.591317492162421,0.440638258743394,0.614961968974245,0.331527944087864,0.283912171652695,0.526897605094828,0.0696263949539059,0.592181009048959,-0.706570678497589,0.322093445458095,-0.319366726192183
