"ID","setSize","NES","pvalue","p.adjust"
"Activated CD8 T cell",26,2.67195909400635,1.15959979213808e-13,3.24687941798663e-12
"Memory B cell",14,1.44592225782864,0.0825335892514395,0.750854700854701
"Type 2 T helper cell",29,1.38770587585112,0.0893470790378007,0.750854700854701
"Effector memeory CD8 T cell",25,1.31691303796547,0.134380453752181,0.750854700854701
"Regulatory T cell",20,1.27579067116706,0.177238805970149,0.750854700854701
"Central memory CD4 T cell",28,1.18587779811831,0.238013698630137,0.750854700854701
"Activated dendritic cell",35,1.17180501422861,0.239530988274707,0.750854700854701
"MDSC",20,-1.14405275007577,0.276824034334764,0.750854700854701
"CD56bright natural killer cell",40,-1.08817615138226,0.333333333333333,0.750854700854701
"Monocyte",21,1.074903223795,0.371747211895911,0.750854700854701
"Natural killer cell",35,1.07326861094745,0.340033500837521,0.750854700854701
"Activated CD4 T cell",25,1.05377637180893,0.389179755671902,0.750854700854701
"Type 1 T helper cell",77,1.04694632591889,0.361934477379095,0.750854700854701
"Neutrophil",18,-1.02632719063091,0.408421052631579,0.750854700854701
"Immature  B cell",19,1.02351148187772,0.419659735349716,0.750854700854701
"Effector memeory CD4 T cell",27,1.01037016691117,0.429059829059829,0.750854700854701
"Central memory CD8 T cell",21,0.95315272140631,0.526022304832714,0.86479250334672
"Gamma delta T cell",31,0.931358593053347,0.555938037865749,0.86479250334672
"T follicular helper cell",36,0.903015978826456,0.596375617792422,0.878869331483569
"CD56dim natural killer cell",16,0.854782487665834,0.656429942418426,0.908212560386473
"Macrophage",33,-0.845914479009768,0.681159420289855,0.908212560386473
"Type 17 T helper cell",27,0.802741713389667,0.745299145299145,0.948562548562549
"Immature dendritic cell",23,-0.777707745391554,0.779775280898876,0.949291646311676
"Plasmacytoid dendritic cell",32,0.728920527824004,0.869191049913941,0.973493975903615
"Mast cell",17,0.711625113410297,0.845559845559846,0.973493975903615
"Activated B cell",26,0.630900709452791,0.949565217391304,0.99034749034749
"Natural killer T cell",44,0.604290259935898,0.980738362760835,0.99034749034749
"Eosinophil",17,0.478282969683812,0.99034749034749,0.99034749034749
