"ID","setSize","NES","pvalue","p.adjust"
"REACTOME_INTERFERON_GAMMA_SIGNALING",96,3.62206381274199,4.14735345576863e-68,5.45791714779152e-65
"REACTOME_AEROBIC_RESPIRATION_AND_RESPIRATORY_ELECTRON_TRANSPORT",172,-3.61244781980583,1.50324072663991e-55,9.89132398129059e-53
"REACTOME_RESPIRATORY_ELECTRON_TRANSPORT",99,-3.68861309645395,4.94776325519999e-52,2.1704188146144e-49
"REACTOME_INTERFERON_SIGNALING",272,3.03726599906766,7.61457710336113e-44,2.50519586700581e-41
"REACTOME_CELL_CYCLE_MITOTIC",438,2.70262626887791,1.60987677669646e-38,4.23719567626507e-36
"REACTOME_MITOTIC_G1_PHASE_AND_G1_S_TRANSITION",126,3.0762578293093,3.3499858151201e-30,7.34763555449675e-28
"REACTOME_S_PHASE",136,3.01733114176985,9.46986975026891e-30,1.78033551305055e-27
"REACTOME_COMPLEX_I_BIOGENESIS",44,-3.22338443387386,3.58700815645984e-27,5.90062841737644e-25
"REACTOME_CELL_CYCLE_CHECKPOINTS",237,2.71039725990961,4.67721669499899e-26,6.8391301895763e-24
"REACTOME_SWITCHING_OF_ORIGINS_TO_A_POST_REPLICATIVE_STATE",74,2.95570052342202,1.1911646005603e-21,1.56757261433736e-19
"REACTOME_SYNTHESIS_OF_DNA",103,2.79129035524118,8.70971419526068e-19,9.55165323413588e-17
"REACTOME_DNA_REPLICATION",172,2.56321162605598,8.04534215593434e-19,9.55165323413588e-17
"REACTOME_TRANSFERRIN_ENDOCYTOSIS_AND_RECYCLING",29,-2.96233209292754,1.30435833848248e-17,1.32041197957149e-15
"REACTOME_DISEASES_OF_MITOTIC_CELL_CYCLE",36,2.78884551703641,1.87442161091146e-17,1.76195631425677e-15
"REACTOME_ROS_AND_RNS_PRODUCTION_IN_PHAGOCYTES",36,-2.87761458223079,7.80757739619581e-17,6.45876013206338e-15
"REACTOME_APC_C_MEDIATED_DEGRADATION_OF_CELL_CYCLE_PROTEINS",73,2.81470334226812,7.85259590524423e-17,6.45876013206338e-15
"REACTOME_CELLULAR_SENESCENCE",159,2.54187227091815,8.38568516314114e-17,6.4915068674669e-15
"REACTOME_CYCLIN_D_ASSOCIATED_EVENTS_IN_G1",45,2.76085395385068,3.34384066576334e-16,2.44471906452475e-14
"REACTOME_DNA_REPLICATION_PRE_INITIATION",141,2.55362922000018,1.82633483063957e-15,1.26497717743246e-13
"REACTOME_FORMATION_OF_ATP_BY_CHEMIOSMOTIC_COUPLING",18,-2.72796166737104,1.96814392708894e-15,1.29503870402452e-13
"REACTOME_INSULIN_RECEPTOR_RECYCLING",30,-2.82933054078403,8.72429265257726e-15,5.46722339561509e-13
"REACTOME_G2_M_CHECKPOINTS",137,2.52008857605741,9.37907599184686e-15,5.61039272966839e-13
"REACTOME_COMPLEX_IV_ASSEMBLY",25,-2.82261348403283,1.20145652876145e-14,6.87442083413071e-13
"REACTOME_MITOCHONDRIAL_PROTEIN_DEGRADATION",79,-2.69167638393063,3.34401443005814e-14,1.83363457914855e-12
"REACTOME_SENESCENCE_ASSOCIATED_SECRETORY_PHENOTYPE_SASP",107,2.57681802578761,4.10022029252344e-14,2.15835596198434e-12
"REACTOME_CYCLIN_A_CDK2_ASSOCIATED_EVENTS_AT_S_PHASE_ENTRY",68,2.64643610244899,1.2469914916652e-13,6.07792890011631e-12
"REACTOME_REGULATION_OF_IFNG_SIGNALING",14,2.43937751738206,1.20670794722912e-13,6.07792890011631e-12
"REACTOME_ORC1_REMOVAL_FROM_CHROMATIN",56,2.60508624814153,7.92557031264838e-13,3.59656914877423e-11
