geneset,S01,S02,S03,S04,S05,S06,S07,S08,S09,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24
REACTOME_2_LTR_CIRCLE_FORMATION,-0.289939838214124,0.45093722913422,0.343775193466183,0.0598543580961164,-0.34855263198106,0.0695312206400526,-0.207236997391938,-0.579074054435525,0.0932430808005632,-0.224399044358304,0.0268860853164368,-0.318915851417736,0.479445305560013,0.0720927424224128,0.199797333481195,0.0478612967919548,0.172322183311194,-0.11817004806294,-0.109876558375852,0.226406108879568,0.0323632411544499,-0.0412248579636373,-0.0977301499638605,-0.156195417022825
REACTOME_ABACAVIR_ADME,0.501358177490449,0.402663615578572,0.0822265153344603,0.0206327860353723,-0.166868515114679,0.402274206311738,0.495226223853168,-0.45542915818866,0.444324827839052,-0.37008924203865,0.0137781445794004,-0.374313624241132,-0.144430661209455,-0.426981081411597,-0.0809064421131186,0.360899079876927,-0.110205022799739,-0.0678308949469608,-0.000155913839613664,-0.306506331671768,0.487607685033591,-0.116405591158689,-0.0412528616718818,0.310190775175079
REACTOME_ABACAVIR_TRANSMEMBRANE_TRANSPORT,0.425339891574869,0.134656175182776,-0.311872214549083,0.167467628887288,0.206503592932029,0.850789410640244,0.557443014868603,0.274361119901812,0.721283921961464,-0.206528456092012,-0.527680104280376,-0.427302622727744,-0.627611527711377,-0.204805068126635,-0.712613156306578,0.636813518406759,-0.10709814347408,0.172521522571701,-0.105714045286532,-0.612641154890952,-0.225941444561232,-0.473989136994568,-0.225275229424185,0.128666264333132
REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT,0.259358876391442,0.237013703632184,-0.107426626278572,-0.0729785572450336,0.288570765432441,0.44014726264188,0.326842808096249,-0.00564604966056553,0.292014544370208,0.235642974017319,0.0613022540325172,-0.219774816849902,-0.565591922757134,-0.0499972546167876,-0.243602956548749,0.240969984707522,-0.250980269054153,-0.0158312951558913,-0.110882652598836,0.355795855637609,-0.112141754151691,-0.241017376415242,-0.55762613631088,-0.281019045758138
REACTOME_ABC_TRANSPORTER_DISORDERS,0.129918752871446,0.197489622823902,0.0388617286015487,-0.142009655554738,0.12488987897725,0.369442625396595,0.202466984871013,-0.126369547579217,0.293672301060643,0.0773999446776231,-0.020822243409952,-0.153252366496219,-0.457696399114812,0.189076390196822,-0.132636406292746,0.173196595495894,-0.286229029555385,-0.0259510726163283,-0.0036894897523943,0.334066914578348,-0.086367864305842,-0.151035756869022,-0.48462954377004,-0.143765858422455
REACTOME_ABC_TRANSPORTERS_IN_LIPID_HOMEOSTASIS,0.214333663205964,0.292257487125668,-0.146369090079485,0.277309625261394,0.600697942552364,0.619150860222816,0.615659039131076,0.220083183688209,0.345921263552163,0.534552841487944,0.311676828057132,-0.430601590834442,-0.807714424542508,-0.231899620735844,-0.673168325632613,0.469738853844396,-0.46875540638429,-0.0892239547129042,-0.248614358645266,0.530254545256397,-0.0939265178454043,-0.461678704577734,-0.750850499635142,-0.459227796383904
REACTOME_ABERRANT_REGULATION_OF_MITOTIC_EXIT_IN_CANCER_DUE_TO_RB1_DEFECTS,0.352938491658691,0.345095306144883,0.466204726939386,0.456163967274752,0.643984445528177,0.458326276847772,0.419410119524402,0.283153367874549,0.362305539731998,0.51954805580331,0.398994071099782,0.29916918464616,-0.378386088665227,-0.39514441056394,-0.533634118698311,-0.502215089751323,-0.573794100242083,-0.459707959813922,-0.429479707233718,-0.374721877486834,-0.410220388520596,-0.448300042222682,-0.495004387664056,-0.463880062608315
REACTOME_ABERRANT_REGULATION_OF_MITOTIC_G1_S_TRANSITION_IN_CANCER_DUE_TO_RB1_DEFECTS,0.355877587188451,0.303561001530225,0.479252349116707,0.52507915457623,0.478496434144699,0.492375439399622,0.434820504994886,0.543796046911095,0.468021839798943,0.572282094946409,0.246918539593687,0.387285271617597,-0.32988320680981,-0.480441366596936,-0.432299555943291,-0.588943843674238,-0.635460187795824,-0.411267047327991,-0.351807320470707,-0.654958002494724,-0.490972419927183,-0.32925691208909,-0.487346248491638,-0.0573523843589722
REACTOME_ABORTIVE_ELONGATION_OF_HIV_1_TRANSCRIPT_IN_THE_ABSENCE_OF_TAT,-0.122613127115214,0.00646200349447945,0.0809840257299851,0.0869475762912864,-0.387376820405762,-0.358961807182982,0.193711098834251,0.0292229701208283,-0.25333628832279,0.396623896113865,-0.272535348677929,0.253822957554753,-0.0556641453716477,0.438719831391157,-0.214027880493345,-0.073053883691294,-0.0762178558357646,-0.241641802077873,0.183565147123974,-0.289463783885094,-0.318933037539163,0.141416354784655,0.343851405908612,0.218120927913505
REACTOME_ACETYLCHOLINE_BINDING_AND_DOWNSTREAM_EVENTS,-0.217559607578164,-0.336703447574391,-0.0577046826046832,0.349860914572281,0.222846929662006,0.1006820092011,-0.0456425807135568,-0.469682992007956,-0.0441343867961541,-0.430050896081565,-0.298621851357516,-0.0358589920652694,0.43308353894946,-0.0409516701421188,-0.0224000344988393,-0.261522139038404,-0.142928583014816,-0.0286715428689925,0.198463613127,0.36425239765874,-0.203004458169456,0.13552165828166,0.0366553470042101,0.402727452853297
REACTOME_ACETYLCHOLINE_INHIBITS_CONTRACTION_OF_OUTER_HAIR_CELLS,0.45297364442712,-0.131817008744377,-0.339505777981124,-0.72139439854558,0.447771010860125,0.636067780991552,-0.311700671872489,0.427588556764882,-0.0117093191694833,-0.444257657564777,0.475736359246741,-0.331168669442466,0.604937363474577,-0.270943127920138,-0.338244725376546,0.568937119728699,0.0256871641787167,0.584936209957673,-0.365301376685654,-0.208560354216311,-0.139335697872757,-0.101199875830942,0.330662290002042,-0.0633082723171147
REACTOME_ACETYLCHOLINE_NEUROTRANSMITTER_RELEASE_CYCLE,-0.223665535421512,-0.0122495757358881,0.0940792580897634,-0.0911974126452581,0.406665432490567,-0.336972606905003,-0.202533106803073,0.334227638457357,0.580975522580794,0.265832124005634,0.24907140304896,-0.361325510582797,-0.483710388659066,-0.176891568850561,0.313688722027102,-0.249930093807096,0.45698463046057,0.276869402307864,-0.325860828972565,-0.0188156370249602,-0.435869922558389,-0.472238723471458,0.0978840943519594,0.495075421472937
