geneset,S01,S02,S03,S04,S05,S06,S07,S08,S09,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24
REACTOME_INTERFERON_GAMMA_SIGNALING,0.518959080932243,0.410807699174763,0.426236411124598,0.437475813527471,0.483026059545616,0.541833997343015,0.501896843313942,0.460131577584782,0.47947896350804,0.434860896061963,0.480056472267981,0.518951310450371,-0.510255096476213,-0.440282461774046,-0.471654851786392,-0.479102430597891,-0.421664120013873,-0.431987250578774,-0.482829077032924,-0.565739019460679,-0.456669863756245,-0.436292298073997,-0.470046339196271,-0.54452366858685
REACTOME_CONVERSION_FROM_APC_C_CDC20_TO_APC_C_CDH1_IN_LATE_ANAPHASE,0.480481086638197,0.37171368049059,0.482279061210134,0.456285665042226,0.633806904883961,0.526685709300653,0.442732538722865,0.343227162328244,0.366815257019516,0.488145225628539,0.365930553847445,0.289596309526774,-0.368021482180029,-0.360085162827715,-0.545063188098266,-0.50637966605501,-0.557110301653169,-0.455354707286554,-0.412484516922516,-0.393553367214446,-0.431216141078668,-0.434437588931457,-0.484142815539349,-0.557848681296132
REACTOME_ABERRANT_REGULATION_OF_MITOTIC_EXIT_IN_CANCER_DUE_TO_RB1_DEFECTS,0.352938491658691,0.345095306144883,0.466204726939386,0.456163967274752,0.643984445528177,0.458326276847772,0.419410119524402,0.283153367874549,0.362305539731998,0.51954805580331,0.398994071099782,0.29916918464616,-0.378386088665227,-0.39514441056394,-0.533634118698311,-0.502215089751323,-0.573794100242083,-0.459707959813922,-0.429479707233718,-0.374721877486834,-0.410220388520596,-0.448300042222682,-0.495004387664056,-0.463880062608315
REACTOME_COMPLEX_I_BIOGENESIS,-0.350575574211617,-0.417922401798054,-0.409050383102119,-0.500986098078542,-0.466746304663876,-0.268635761749781,-0.545276810256049,-0.42317440583299,-0.519580697650313,-0.289458431325217,-0.316808773127881,-0.429238295404691,0.497018508150788,0.303724218003694,0.425996239971298,0.438761121810624,0.367270780852447,0.422346121901268,0.352440962349321,0.374879790572262,0.375933319883597,0.361239732084626,0.468011469573011,0.374954957392172
REACTOME_DISEASES_OF_MITOTIC_CELL_CYCLE,0.377398219288251,0.329022964276429,0.408767969718325,0.519092141707667,0.558196907802623,0.462323289214547,0.400375933719172,0.400651153631579,0.356971021110522,0.493140807674479,0.279844459082847,0.362176011926603,-0.30505376131569,-0.405810045992505,-0.437634911235038,-0.447199149627355,-0.595289786320538,-0.413278975195504,-0.378151932916095,-0.495813807814777,-0.429389000207816,-0.351729200853447,-0.444462183570631,-0.287571774497462
REACTOME_RESPIRATORY_ELECTRON_TRANSPORT,-0.345427620709577,-0.401909728111673,-0.331726061403857,-0.340990596591701,-0.346636161313795,-0.328268747512939,-0.336551081503334,-0.456251208044377,-0.421247600424361,-0.351459436559195,-0.187148617205038,-0.389376945838644,0.443209006559958,0.341219203949914,0.342272374374697,0.302371683074531,0.374376327559141,0.420501056341059,0.235967487703837,0.444365970029166,0.364484065192885,0.36096257780191,0.348671002746845,0.386421247951614
REACTOME_FORMATION_OF_ATP_BY_CHEMIOSMOTIC_COUPLING,-0.421900068404514,-0.438596844782804,-0.58567921568109,-0.314662018980989,-0.398416266962465,-0.498780062902179,-0.532787407706883,-0.589047704288837,-0.471649467483023,-0.468780202258034,-0.466869246737634,-0.362305989423466,0.317781563255264,0.402556229001889,0.416985753379822,0.491499971101889,0.421935301592192,0.359791928207357,0.508377253802507,0.344345445536951,0.639376373418414,0.369717783755489,0.55411721484206,0.235024136517517
REACTOME_G0_AND_EARLY_G1,0.455246981269031,0.31051118087143,0.485452782059581,0.412233909223435,0.295275715646867,0.403486459117676,0.56674074152995,0.44486760064912,0.51235263515016,0.275196278533125,0.191014566983801,0.355092035411479,-0.390070312722188,-0.420294335757751,-0.463650847166286,-0.402146999757309,-0.330588609219728,-0.531938241954555,-0.421789540738326,-0.523285221579824,-0.358977368878904,-0.386250534911848,-0.458098451593402,-0.260409616539012
REACTOME_INHIBITION_OF_THE_PROTEOLYTIC_ACTIVITY_OF_APC_C_REQUIRED_FOR_THE_ONSET_OF_ANAPHASE_BY_MITOTIC_SPINDLE_CHECKPOINT_COMPONENTS,0.36499712957589,0.192561006046941,0.433306470578646,0.516740407431168,0.643706261804687,0.530737554738343,0.450994916072087,0.265707017437095,0.339641890943534,0.476601941761128,0.334195831016927,0.339024771233926,-0.389556926362007,-0.394640653567401,-0.490795184524434,-0.491506381931231,-0.559155451204652,-0.439578166340471,-0.349439616939262,-0.233081465077097,-0.307692840135078,-0.370146394510504,-0.496715750513818,-0.513904693949418
REACTOME_PHOSPHORYLATION_OF_THE_APC_C,0.346646350966673,0.250576593350974,0.49141913827486,0.496898979787017,0.673948491918865,0.446051256128772,0.495923859012342,0.230274712828726,0.29912263677535,0.460566219435374,0.361708761127637,0.223154120202663,-0.339473333647069,-0.316963619029528,-0.522234168020954,-0.53106997755445,-0.585919824539206,-0.509134338255978,-0.326899864502131,-0.350646295678181,-0.456766218646456,-0.43852863351429,-0.475149180845028,-0.43464855343584
