geneset,S01,S02,S03,S04,S05,S06,S07,S08,S09,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24
KEGG_CELL_CYCLE,0.419547558252591,0.399683677107631,0.534523062709255,0.514417511093355,0.496589386657672,0.439027262566343,0.503824224338315,0.467058483854896,0.453386773228422,0.49370498623378,0.414942846641293,0.422610748113951,-0.465467777593523,-0.445123436111641,-0.439774556451914,-0.487859434980612,-0.517606172985877,-0.484457344424335,-0.440837152098202,-0.485814243200829,-0.444512816268931,-0.458870414534905,-0.435958394816977,-0.42922202747647
KEGG_OXIDATIVE_PHOSPHORYLATION,-0.457457402056355,-0.425112057133072,-0.435235565159062,-0.436114128576463,-0.436826599202361,-0.423070176248202,-0.515300353746271,-0.451554261978024,-0.510161621162991,-0.466114744666239,-0.380854182981833,-0.445981293301499,0.416390842925888,0.44967415311143,0.436405673497813,0.406178625220479,0.430401337097178,0.505874062184488,0.392100763619699,0.434442042847496,0.522503496640828,0.432257115477058,0.483312996670873,0.463909443102814
KEGG_PARKINSONS_DISEASE,-0.353002032424648,-0.356029356179412,-0.42908665897267,-0.349786821673737,-0.362737115202295,-0.376168596148058,-0.38119257745623,-0.435591007395371,-0.385961361051162,-0.348377151165856,-0.27642118336151,-0.299585593113495,0.376046097684729,0.335727293506332,0.337169304783778,0.373646944178871,0.332367147679376,0.39563978874481,0.263356706580192,0.399261269758947,0.439821406139486,0.327852122998017,0.380014264069319,0.363360356654188
KEGG_ALZHEIMERS_DISEASE,-0.211659546994288,-0.222852471601376,-0.246634631388032,-0.222649049838841,-0.332424391462235,-0.174227585572257,-0.324114153312029,-0.260185868225435,-0.310756416460359,-0.320144066719715,-0.227953561201925,-0.280933365447087,0.277434031706411,0.311712868285285,0.287392575886093,0.304269112469292,0.294992199318113,0.278579301369421,0.128341131801777,0.23218182452949,0.370774361480223,0.238810521278201,0.298435304691698,0.230776057953707
KEGG_HUNTINGTONS_DISEASE,-0.265772977353131,-0.30163018313276,-0.226707457506102,-0.200997209381524,-0.317306933638908,-0.26866697960957,-0.272107758352278,-0.161194268249852,-0.336290041385394,-0.0782585686715241,-0.184909611402716,-0.179960595733391,0.301424861363812,0.342399472828221,0.18446764347662,0.233156075939408,0.118649703264332,0.28490771969147,0.0559684760853901,0.353984803398819,0.291885011577079,0.189961915625264,0.276734778123995,0.255940688362255
KEGG_OOCYTE_MEIOSIS,0.246926763687574,0.0696558327413622,0.308599470258782,0.225686450334606,0.0790527382117436,0.215046303081227,0.3653548445147,0.289206641924398,0.184761103919432,0.311106199433598,0.222739082401687,0.237096348656595,-0.24141558355479,-0.0666897017978937,-0.342280179240191,-0.117082652683527,-0.229896430969206,-0.225894048161541,-0.316308364142009,-0.181202370842465,-0.251690921194057,-0.319915616857959,-0.15281309783704,-0.357500424029689
KEGG_TGF_BETA_SIGNALING_PATHWAY,0.123461428339035,0.153893875641003,0.311217397475883,0.172805406575062,0.232543811220303,0.0894851712669789,0.195972131802873,0.158968104359849,0.244853734100276,0.275132088465924,0.207225743408394,0.193192956859356,-0.213130067595916,-0.0880223474280665,-0.173834146994516,-0.101122399291213,-0.353769002589169,-0.127810032844238,-0.0889821273849931,-0.346743302534378,-0.230172740412393,-0.169844144426964,-0.105850582160875,-0.260958353307
KEGG_CARDIAC_MUSCLE_CONTRACTION,-0.329352947055563,-0.317934886916658,-0.154705663013399,-0.416820443969618,-0.294380711829462,-0.127288406143866,-0.28360093784102,-0.337005373722708,-0.174849764766429,-0.265944957250187,-0.0383620798926727,-0.0605676296841494,0.228291907184859,0.279321954519335,0.188927878882067,0.0305177722882925,0.239841552166998,0.437843607035561,-0.182150932696929,0.366272573766615,0.32564826034309,0.339444358799448,0.356609029410907,0.244493931070685
KEGG_ALLOGRAFT_REJECTION,0.339780444675013,0.0430182204780823,0.122967125074183,0.278441082887734,0.285901596760691,0.37909701133253,0.256892247389014,0.188441666196449,0.309858471690828,-0.08470552924278,0.391001598090414,0.343698649015306,-0.341362967134488,-0.35562626240983,-0.182253320269298,-0.227349178202655,-0.439982245310292,0.0723101611056212,-0.181557431478857,-0.308089435735796,-0.26930504699947,0.0182011809788493,-0.163018277885697,-0.376546642855917
KEGG_LEISHMANIA_INFECTION,0.175172895444581,0.209921495577467,0.211537920442603,0.0781802810490731,0.182523634935589,0.247842899970082,0.142507916133818,0.167087304385957,-0.0486233461252076,0.0483957778169977,0.301732634934199,0.294474435195137,-0.220333073343375,-0.200210550511687,-0.02326126115766,-0.133522564562589,-0.326298206300785,-0.0121016352201978,-0.0493854954641966,-0.265738012437715,-0.306187914289082,-0.15002300022793,-0.149367728265592,-0.0943971371690472
