geneset,gene_count
REACTOME_ACTIVATION_OF_RAS_IN_B_CELLS,5
REACTOME_ADAPTIVE_IMMUNE_SYSTEM,825
REACTOME_ADORA2B_MEDIATED_ANTI_INFLAMMATORY_CYTOKINES_PRODUCTION,133
REACTOME_ANTI_INFLAMMATORY_RESPONSE_FAVOURING_LEISHMANIA_PARASITE_INFECTION,223
REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_BCR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS,86
REACTOME_ANTIGEN_PRESENTATION_FOLDING_ASSEMBLY_AND_PEPTIDE_LOADING_OF_CLASS_I_MHC,25
REACTOME_ANTIGEN_PROCESSING_CROSS_PRESENTATION,106
REACTOME_ANTIGEN_PROCESSING_UBIQUITINATION_PROTEASOME_DEGRADATION,308
REACTOME_CD163_MEDIATING_AN_ANTI_INFLAMMATORY_RESPONSE,9
REACTOME_CLASS_I_MHC_MEDIATED_ANTIGEN_PROCESSING_PRESENTATION,377
REACTOME_CLEC7A_INFLAMMASOME_PATHWAY,6
REACTOME_CROSS_PRESENTATION_OF_PARTICULATE_EXOGENOUS_ANTIGENS_PHAGOSOMES,8
REACTOME_CROSS_PRESENTATION_OF_SOLUBLE_EXOGENOUS_ANTIGENS_ENDOSOMES,50
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,719
REACTOME_DDX58_IFIH1_MEDIATED_INDUCTION_OF_INTERFERON_ALPHA_BETA,81
REACTOME_DEX_H_BOX_HELICASES_ACTIVATE_TYPE_I_IFN_AND_INFLAMMATORY_CYTOKINES_PRODUCTION,7
REACTOME_DISEASES_OF_IMMUNE_SYSTEM,31
REACTOME_DOWNSTREAM_SIGNALING_EVENTS_OF_B_CELL_RECEPTOR_BCR,81
REACTOME_FICOLINS_BIND_TO_REPETITIVE_CARBOHYDRATE_STRUCTURES_ON_THE_TARGET_CELL_SURFACE,5
REACTOME_IL_6_TYPE_CYTOKINE_RECEPTOR_LIGAND_INTERACTIONS,17
REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL,191
REACTOME_INFLAMMASOMES,21
REACTOME_INLA_MEDIATED_ENTRY_OF_LISTERIA_MONOCYTOGENES_INTO_HOST_CELLS,9
REACTOME_INLB_MEDIATED_ENTRY_OF_LISTERIA_MONOCYTOGENES_INTO_HOST_CELL,15
REACTOME_INNATE_IMMUNE_SYSTEM,1117
REACTOME_INTERACTIONS_OF_REV_WITH_HOST_CELLULAR_PROTEINS,37
REACTOME_INTERACTIONS_OF_VPR_WITH_HOST_CELLULAR_PROTEINS,37
REACTOME_INTERFERON_ALPHA_BETA_SIGNALING,73
REACTOME_INTERFERON_GAMMA_SIGNALING,93
REACTOME_INTERFERON_SIGNALING,203
REACTOME_LISTERIA_MONOCYTOGENES_ENTRY_INTO_HOST_CELLS,20
REACTOME_MHC_CLASS_II_ANTIGEN_PRESENTATION,126
REACTOME_MITOTIC_TELOPHASE_CYTOKINESIS,13
REACTOME_MODULATION_BY_MTB_OF_HOST_IMMUNE_SYSTEM,7
REACTOME_REGULATION_OF_INNATE_IMMUNE_RESPONSES_TO_CYTOSOLIC_DNA,15
REACTOME_RUNX1_AND_FOXP3_CONTROL_THE_DEVELOPMENT_OF_REGULATORY_T_LYMPHOCYTES_TREGS,10
REACTOME_RUNX3_REGULATES_IMMUNE_RESPONSE_AND_CELL_MIGRATION,6
REACTOME_SIGNALING_BY_THE_B_CELL_RECEPTOR_BCR,166
REACTOME_STING_MEDIATED_INDUCTION_OF_HOST_IMMUNE_RESPONSES,16
REACTOME_SUMOYLATION_OF_IMMUNE_RESPONSE_PROTEINS,11
REACTOME_THE_NLRP3_INFLAMMASOME,16
