geneset,S01,S02,S03,S04,S05,S06,S07,S08,S09,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24
REACTOME_ACTIVATION_OF_RAS_IN_B_CELLS,-0.296516937691074,-0.114572014970421,-0.409662871232535,0.53571030320505,-0.257559948075972,0.184698995057561,-0.223741340597858,0.549089086168456,0.430431165837669,0.362083190460234,0.00700229385488349,-0.0856904877678112,0.328101370883834,0.558059855979124,0.0829158146973923,-0.327303626752667,0.109805467378572,-0.311512625848503,-0.633066179034206,0.039112225837017,0.539193973764189,-0.339459654800518,-0.720613028405857,-0.0640972336718416
REACTOME_ADAPTIVE_IMMUNE_SYSTEM,-0.0152548164836348,0.014315445897129,0.0190788866509116,0.0224388797074075,0.0493898925242742,0.0524938120887472,0.0471601046731259,0.0715794667401072,-0.0320932431974875,0.0255231403371009,0.0947063611095263,0.0316910351833705,-0.0903717005867658,0.0453974831070378,-0.11942958526282,0.0619448890977985,-0.108989098907781,-0.0124012832341397,-0.0713251202372781,-0.0119345106576416,-0.0877085137964701,-0.0418969187064331,-0.0258765577775061,0.0274972987545264
REACTOME_ADORA2B_MEDIATED_ANTI_INFLAMMATORY_CYTOKINES_PRODUCTION,-0.0599972154193217,-0.0323508151272832,0.0233619229389514,-0.0885260790367622,-0.192906924628183,-0.166685752652076,0.140959298120867,0.0104276654248246,-0.192089104212216,0.0492831771028676,0.148309426988257,-0.0438480127974406,-0.0548147669425132,0.239838176639535,0.206868381753043,0.0355482841201356,-0.0842517513327655,0.0571912637147815,-0.00721773525776298,0.0946333770586489,0.0512055868941799,-0.117392368783055,0.146226249465556,-0.0898358272573617
REACTOME_ANTI_INFLAMMATORY_RESPONSE_FAVOURING_LEISHMANIA_PARASITE_INFECTION,-0.0729786407655542,-0.0217454140713697,-0.0403246321709348,-0.0416189473757925,-0.0678543666635091,-0.0520779851472236,0.0599528454825277,-0.0769094607252944,-0.158604401095147,0.0370083192161093,0.117634307575592,0.0495877420715205,-0.0307826739279174,0.0628276948779043,0.0159511850838647,0.103397345031813,0.0228378601427821,0.0935079852945108,-0.0736880181502666,-0.00999811080348528,0.0228951263411273,-0.0748781272166808,0.113967466093268,-0.00657332902311369
REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_BCR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS,-0.1642569212395,-0.0446160685688403,-0.195352657621986,-0.00289665702002723,0.185755204435347,0.180176120576374,-0.173083064783846,-0.0543547768277694,-0.078875036941446,-0.00377494475994453,0.00896768425522387,0.10502859765449,-0.0529125613690021,-0.0840453622592423,-0.136511130410821,0.133152510093761,0.127117397780549,0.080618703472177,-0.070380990359451,-0.0557513396032556,-0.0113894101183227,-0.0663171617440355,0.043914829382857,0.183110817177501
REACTOME_ANTIGEN_PRESENTATION_FOLDING_ASSEMBLY_AND_PEPTIDE_LOADING_OF_CLASS_I_MHC,0.11795526463129,0.0318115963864045,-0.0603613066850376,0.398076675792525,-0.116733821548892,0.263210706711782,0.199728586699179,0.38210671536431,0.456886873137842,-0.0450426244531912,-0.0333395715577723,0.0562151935214567,-0.217720562573389,-0.111924400881547,0.147158996627573,-0.0161677521659083,-0.354998881350956,-0.215237073136003,-0.113224757009231,-0.16306175994967,-0.0662938417124373,0.0442994916357863,0.0388166836708805,-0.409822826588805
REACTOME_ANTIGEN_PROCESSING_CROSS_PRESENTATION,-0.0635763837595278,0.190938365626096,-0.00525757136321314,-0.043422890504117,-0.0471982005072432,-0.0115650978714773,0.105641787924833,-0.00969872528245891,0.0612027647869327,0.176894116940216,0.130348950616836,-0.0310224400107038,-0.099420772797274,0.0316976929760771,0.230582966316819,-0.000956399824700138,-0.242417015747053,-0.10639729391629,-0.139890378689366,0.14885887615449,-0.141387116653212,0.0694522413971628,-0.220258205227987,-0.0221289597250936
REACTOME_ANTIGEN_PROCESSING_UBIQUITINATION_PROTEASOME_DEGRADATION,0.020672002375143,0.0863179598261646,0.0754963540404144,-0.0677755500462161,0.11682562141818,0.0101293778627604,-0.0202189419260762,0.0201276139066682,-0.00237875680375838,0.0116896649455902,0.0686731482868954,0.0330829095467555,-0.0680790829964847,0.0677927142745111,-0.133381026236947,0.0425855057734615,-0.113627019035058,-0.0699534169189152,-0.0213162234168325,0.0373440458489074,-0.0800912496207384,-0.0200228822304309,-0.0148760806236131,0.0425322977756125
REACTOME_CD163_MEDIATING_AN_ANTI_INFLAMMATORY_RESPONSE,0.158232778906022,-0.0530326696794308,0.252622812600349,-0.0605605632624727,0.134202370658809,0.208747632229004,0.528648217968568,-0.512119216273463,-0.229779939712934,-0.166153542672821,-0.230697255585255,0.47696604378008,-0.55286327740941,-0.0665179958318725,-0.363697503952183,0.337502113384029,-0.0895240231071016,0.0272444959507911,-0.452414018223329,-0.271275922178833,0.185643205229404,0.136006764101945,0.336937165469273,0.360674603422663
REACTOME_CLASS_I_MHC_MEDIATED_ANTIGEN_PROCESSING_PRESENTATION,-0.0119959608314201,0.0920279248204194,0.0611491095825981,-0.0126040843499001,0.0737767475754408,0.0292593815542431,0.0163154825504905,0.0419954947661129,0.038811934250967,0.0232900461192312,0.0701013322083304,-0.00471341656982516,-0.0974928136843135,0.0466887108829384,-0.067129581666827,0.0503016167258371,-0.149354500990241,-0.0898118878135599,-0.0731713350205046,0.0406738824685735,-0.0865247126996982,-0.0137576923993337,-0.0289078049610926,0.0399237059761535
