"cell_type","sample","ssgsea_score","group","cell_type_label","immunity_class"
"KEGG_ABC_TRANSPORTERS","S01",0.189688962346132,"Case","KEGG_ABC_TRANSPORTERS",NA
"KEGG_ABC_TRANSPORTERS","S02",0.177078869082058,"Case","KEGG_ABC_TRANSPORTERS",NA
"KEGG_ABC_TRANSPORTERS","S03",0.120996349321272,"Case","KEGG_ABC_TRANSPORTERS",NA
"KEGG_ABC_TRANSPORTERS","S04",0.1586005134439,"Case","KEGG_ABC_TRANSPORTERS",NA
"KEGG_ABC_TRANSPORTERS","S05",0.288623304096312,"Case","KEGG_ABC_TRANSPORTERS",NA
"KEGG_ABC_TRANSPORTERS","S06",0.344572389308138,"Case","KEGG_ABC_TRANSPORTERS",NA
"KEGG_ABC_TRANSPORTERS","S07",0.335207240155696,"Case","KEGG_ABC_TRANSPORTERS",NA
"KEGG_ABC_TRANSPORTERS","S08",0.168710501712613,"Case","KEGG_ABC_TRANSPORTERS",NA
"KEGG_ABC_TRANSPORTERS","S09",0.227445542916089,"Case","KEGG_ABC_TRANSPORTERS",NA
"KEGG_ABC_TRANSPORTERS","S10",0.185952859337769,"Case","KEGG_ABC_TRANSPORTERS",NA
"KEGG_ABC_TRANSPORTERS","S11",0.159306792975924,"Case","KEGG_ABC_TRANSPORTERS",NA
"KEGG_ABC_TRANSPORTERS","S12",-0.0541346549549544,"Case","KEGG_ABC_TRANSPORTERS",NA
"KEGG_ABC_TRANSPORTERS","S13",-0.255435607763183,"Control","KEGG_ABC_TRANSPORTERS",NA
"KEGG_ABC_TRANSPORTERS","S14",0.0291114125035385,"Control","KEGG_ABC_TRANSPORTERS",NA
"KEGG_ABC_TRANSPORTERS","S15",0.00748044788005768,"Control","KEGG_ABC_TRANSPORTERS",NA
"KEGG_ABC_TRANSPORTERS","S16",0.214960674402425,"Control","KEGG_ABC_TRANSPORTERS",NA
"KEGG_ABC_TRANSPORTERS","S17",0.0614841310315113,"Control","KEGG_ABC_TRANSPORTERS",NA
"KEGG_ABC_TRANSPORTERS","S18",0.123404832327758,"Control","KEGG_ABC_TRANSPORTERS",NA
"KEGG_ABC_TRANSPORTERS","S19",0.0819424438320726,"Control","KEGG_ABC_TRANSPORTERS",NA
"KEGG_ABC_TRANSPORTERS","S20",0.222110641721608,"Control","KEGG_ABC_TRANSPORTERS",NA
"KEGG_ABC_TRANSPORTERS","S21",0.100805756962353,"Control","KEGG_ABC_TRANSPORTERS",NA
"KEGG_ABC_TRANSPORTERS","S22",0.0142818480387659,"Control","KEGG_ABC_TRANSPORTERS",NA
"KEGG_ABC_TRANSPORTERS","S23",-0.239671608629702,"Control","KEGG_ABC_TRANSPORTERS",NA
"KEGG_ABC_TRANSPORTERS","S24",-0.0133136611170127,"Control","KEGG_ABC_TRANSPORTERS",NA
"KEGG_ACUTE_MYELOID_LEUKEMIA","S01",0.100274170838137,"Case","KEGG_ACUTE_MYELOID_LEUKEMIA",NA
