"cell_type","Activated_B_cell","Activated_CD4_T_cell","Activated_CD8_T_cell","Activated_dendritic_cell","CD56bright_natural_killer_cell","CD56dim_natural_killer_cell","Central_memory_CD4_T_cell","Central_memory_CD8_T_cell","Effector_memeory_CD4_T_cell","Effector_memeory_CD8_T_cell","Eosinophil","Gamma_delta_T_cell","Immature_B_cell","Immature_dendritic_cell","Macrophage","Mast_cell","MDSC","Memory_B_cell","Monocyte","Natural_killer_cell","Natural_killer_T_cell","Neutrophil","Plasmacytoid_dendritic_cell","Regulatory_T_cell","T_follicular_helper_cell","Type_1_T_helper_cell","Type_17_T_helper_cell","Type_2_T_helper_cell"
"Activated_B_cell",1,0.208695652173913,-0.128695652173913,0.155652173913043,0.31304347826087,-0.0495652173913043,0.0643478260869565,0.0234782608695652,0.0139130434782609,-0.0330434782608696,0.00782608695652174,-0.232173913043478,0.129565217391304,0.125217391304348,-0.184347826086956,0.226086956521739,0.0426086956521739,-0.340869565217391,0.0104347826086957,0.0156521739130435,0.138260869565217,-0.422608695652174,-0.248695652173913,0.29304347826087,-0.0626086956521739,-0.0504347826086956,-0.373043478260869,0.233913043478261
"Activated_CD4_T_cell",0.208695652173913,1,0.211304347826087,0.249565217391304,-0.120869565217391,0.167826086956522,-0.0226086956521739,0.16695652173913,0.0695652173913043,0.330434782608696,-0.123478260869565,0.0747826086956522,-0.0504347826086956,0.299130434782609,-0.338260869565217,0.400869565217391,-0.16,0.489565217391304,-0.112173913043478,0.356521739130435,-0.500869565217391,-0.317391304347826,-0.0365217391304348,0.386086956521739,0.00173913043478261,0.456521739130435,-0.0852173913043478,0.0139130434782609
"Activated_CD8_T_cell",-0.128695652173913,0.211304347826087,1,-0.0739130434782609,-0.168695652173913,0.0426086956521739,0.152173913043478,0.04,-0.0782608695652174,-0.188695652173913,-0.0278260869565217,0.126086956521739,-0.265217391304348,-0.337391304347826,-0.399130434782609,0.135652173913043,-0.207826086956522,0.0573913043478261,0.26,0.453913043478261,0.140869565217391,0.0591304347826087,0.27304347826087,0.0182608695652174,0.179130434782609,0.224347826086956,-0.0252173913043478,-0.128695652173913
"Activated_dendritic_cell",0.155652173913043,0.249565217391304,-0.0739130434782609,1,-0.0991304347826087,0.134782608695652,-0.281739130434783,0.196521739130435,-0.0826086956521739,0.238260869565217,0.0452173913043478,0.114782608695652,-0.520869565217391,0.262608695652174,0.0121739130434783,0.124347826086957,0.136521739130435,0.0739130434782609,0.212173913043478,0.0521739130434783,-0.08,-0.26695652173913,-0.311304347826087,-0.104347826086957,-0.183478260869565,-0.135652173913043,-0.262608695652174,-0.209565217391304
"CD56bright_natural_killer_cell",0.31304347826087,-0.120869565217391,-0.168695652173913,-0.0991304347826087,1,-0.0904347826086956,0.100869565217391,0.0434782608695652,-0.115652173913043,-0.345217391304348,-0.137391304347826,-0.174782608695652,0.0539130434782609,-0.28695652173913,0.0426086956521739,-0.0756521739130435,-0.0860869565217391,-0.24,0.113913043478261,-0.190434782608696,0.254782608695652,0.028695652173913,-0.401739130434783,0.262608695652174,0.184347826086956,0.0156521739130435,0.0147826086956522,-0.174782608695652
"CD56dim_natural_killer_cell",-0.0495652173913043,0.167826086956522,0.0426086956521739,0.134782608695652,-0.0904347826086956,1,-0.363478260869565,0.0208695652173913,-0.1,0.28,0.114782608695652,-0.307826086956522,-0.220869565217391,0.264347826086957,-0.163478260869565,0.145217391304348,-0.13304347826087,0.16695652173913,0.00869565217391304,0.258260869565217,0.192173913043478,0.0643478260869565,-0.126086956521739,-0.0930434782608696,0.108695652173913,-0.0173913043478261,-0.133913043478261,0.187826086956522
"Central_memory_CD4_T_cell",0.0643478260869565,-0.0226086956521739,0.152173913043478,-0.281739130434783,0.100869565217391,-0.363478260869565,1,0.141739130434783,-0.0695652173913043,-0.253913043478261,-0.132173913043478,-0.115652173913043,0.0704347826086957,-0.436521739130435,0.125217391304348,-0.208695652173913,0.308695652173913,0.0826086956521739,-0.336521739130435,-0.00956521739130435,0.031304347826087,0.276521739130435,-0.193913043478261,0.142608695652174,-0.0834782608695652,0.16,-0.0139130434782609,-0.257391304347826
"Central_memory_CD8_T_cell",0.0234782608695652,0.16695652173913,0.04,0.196521739130435,0.0434782608695652,0.0208695652173913,0.141739130434783,1,-0.249565217391304,0.0913043478260869,0.353913043478261,0.138260869565217,0.0539130434782609,0.0939130434782609,0.202608695652174,-0.0895652173913043,0.00347826086956522,-0.0504347826086956,0.103478260869565,0.100869565217391,0.181739130434783,0.22695652173913,-0.0426086956521739,-0.287826086956522,0.358260869565217,0.00347826086956522,-0.223478260869565,0.182608695652174
"Effector_memeory_CD4_T_cell",0.0139130434782609,0.0695652173913043,-0.0782608695652174,-0.0826086956521739,-0.115652173913043,-0.1,-0.0695652173913043,-0.249565217391304,1,0.147826086956522,-0.139130434782609,-0.0460869565217391,0.1,0.0608695652173913,-0.182608695652174,0.248695652173913,0.233913043478261,-0.138260869565217,0.254782608695652,-0.0591304347826087,-0.279130434782609,-0.353913043478261,-0.0408695652173913,0.151304347826087,-0.283478260869565,0.0826086956521739,0.0408695652173913,0.173913043478261
"Effector_memeory_CD8_T_cell",-0.0330434782608696,0.330434782608696,-0.188695652173913,0.238260869565217,-0.345217391304348,0.28,-0.253913043478261,0.0913043478260869,0.147826086956522,1,0.0104347826086957,0.0434782608695652,-0.00608695652173913,0.557391304347826,0.204347826086957,0.337391304347826,0.126086956521739,0.252173913043478,-0.137391304347826,0.0469565217391304,-0.252173913043478,-0.0617391304347826,0.199130434782609,0.166086956521739,-0.0678260869565217,0.177391304347826,0.115652173913043,0.375652173913043
