"cell_type","Activated_B_cell","Activated_CD4_T_cell","Activated_CD8_T_cell","Activated_dendritic_cell","CD56bright_natural_killer_cell","CD56dim_natural_killer_cell","Central_memory_CD4_T_cell","Central_memory_CD8_T_cell","Effector_memeory_CD4_T_cell","Effector_memeory_CD8_T_cell","Eosinophil","Gamma_delta_T_cell","Immature_B_cell","Immature_dendritic_cell","Macrophage","Mast_cell","MDSC","Memory_B_cell","Monocyte","Natural_killer_cell","Natural_killer_T_cell","Neutrophil","Plasmacytoid_dendritic_cell","Regulatory_T_cell","T_follicular_helper_cell","Type_1_T_helper_cell","Type_17_T_helper_cell","Type_2_T_helper_cell"
"Activated_B_cell",0,0.327753483767048,0.548958788699276,0.467670510163817,0.136367458417466,0.818093789603071,0.765153939200892,0.913286577927015,0.948553017701785,0.878178252038723,0.971048308512096,0.274965241183178,0.546239269258583,0.559898535790483,0.388505899741701,0.288099537665783,0.843291375977688,0.103099206111225,0.96140387277738,0.942132059403538,0.519391149459146,0.0396517986761955,0.241261766887955,0.164617852700588,0.771334300511262,0.814955818977567,0.0725863821760811,0.271283599828682
"Activated_CD4_T_cell",0.327753483767048,0,0.321605035459752,0.239566480545679,0.573709735195868,0.433116552649435,0.916487043033783,0.435538105320614,0.746697484178509,0.114784707410549,0.565404995142196,0.728375161557555,0.814955818977567,0.155619554462795,0.10593440216322,0.0522194608212962,0.455169720215427,0.0151762844603597,0.601772453267223,0.0872531045830989,0.0126652789256686,0.130718085603276,0.865463192736338,0.0623971595676504,0.99356504210806,0.0249336713179229,0.692169031649987,0.948553017701785
"Activated_CD8_T_cell",0.548958788699276,0.321605035459752,0,0.731419179392403,0.430702261720981,0.843291375977688,0.47779698719031,0.85278043943399,0.716239290501088,0.377215635184725,0.897304818621818,0.557154407668968,0.210383897873148,0.106892120439358,0.0533449624122526,0.527378541905856,0.329818617805517,0.78995514130984,0.219831960169935,0.025880265803652,0.511462281884675,0.783735252825447,0.196730722890254,0.932507297001515,0.40230343183606,0.29192320594524,0.906889617398975,0.548958788699276
"Activated_dendritic_cell",0.467670510163817,0.239566480545679,0.731419179392403,0,0.644905639030735,0.530053886545385,0.182282770010957,0.357374069515904,0.701162984447183,0.262217509521636,0.83382342198481,0.593293333691541,0.00906104862429222,0.215073170098378,0.954977084649785,0.562648741688316,0.524709619447843,0.731419179392403,0.319571222288681,0.808688197646913,0.710196052195758,0.207296220362818,0.138675542669877,0.627508580724048,0.390786674546259,0.527378541905857,0.215073170098378,0.325696171571422
"CD56bright_natural_killer_cell",0.136367458417466,0.573709735195868,0.430702261720981,0.644905639030735,0,0.67430275825611,0.639085931909078,0.840132984114933,0.590478316886841,0.0984990987956121,0.52204714632733,0.414007022408584,0.802431971084489,0.173974241903664,0.843291375977688,0.725335122330957,0.689179925877578,0.258646240546009,0.596114050669413,0.372752777842713,0.229558964194216,0.894112914575066,0.0516636760657842,0.215073170098378,0.388505899741701,0.942132059403538,0.945342125773634,0.414007022408584
"CD56dim_natural_killer_cell",0.818093789603071,0.433116552649435,0.843291375977688,0.530053886545385,0.67430275825611,0,0.0808287025988867,0.92289170312162,0.641993229606788,0.185112053651326,0.593293333691541,0.143375375550181,0.299665174230172,0.211939278787051,0.445296567042606,0.498379469245611,0.535423732543619,0.435538105320614,0.967832994170269,0.223043218131794,0.368320488755627,0.765153939200892,0.557154407668969,0.66543254524543,0.613156197740633,0.935714596717917,0.53273562597001,0.379458498317382
"Central_memory_CD4_T_cell",0.765153939200892,0.916487043033783,0.47779698719031,0.182282770010957,0.639085931909078,0.0808287025988867,0,0.508832454326388,0.746697484178509,0.231207365167454,0.538118178391148,0.590478316886841,0.743634201296803,0.0329528957755272,0.559898535790483,0.327753483767048,0.142189914430047,0.701162984447183,0.107856201192747,0.964618166075928,0.884546955655295,0.190860890338981,0.363918855929371,0.506209233952854,0.698160600678742,0.455169720215426,0.948553017701785,0.22466048988774
"Central_memory_CD8_T_cell",0.913286577927015,0.435538105320614,0.85278043943399,0.357374069515904,0.840132984114933,0.92289170312162,0.508832454326388,0,0.239566480545679,0.671341269564641,0.0897584560898227,0.519391149459146,0.802431971084489,0.662485385839334,0.342373326780921,0.677268946842897,0.987130473464362,0.814955818977567,0.630395070849354,0.639085931909078,0.395370841976724,0.286199537203398,0.843291375977689,0.17261549938272,0.0856122550865115,0.987130473464362,0.293846871434855,0.393074993112294
"Effector_memeory_CD4_T_cell",0.948553017701785,0.746697484178509,0.716239290501088,0.701162984447183,0.590478316886841,0.641993229606788,0.746697484178509,0.239566480545679,0,0.49061007074296,0.51674165551625,0.830672343932235,0.641993229606789,0.777528188453155,0.393074993112294,0.241261766887954,0.271283599828682,0.519391149459146,0.229558964194216,0.783735252825447,0.186537960757046,0.0897584560898227,0.849615150032417,0.480345902979367,0.179483442975508,0.701162984447183,0.849615150032418,0.416369995293556
"Effector_memeory_CD8_T_cell",0.878178252038723,0.114784707410549,0.377215635184725,0.262217509521636,0.0984990987956121,0.185112053651326,0.231207365167454,0.671341269564641,0.49061007074296,0,0.96140387277738,0.840132984114933,0.977480201647716,0.00465933573439389,0.338157248513176,0.106892120439358,0.557154407668968,0.23452757092162,0.52204714632733,0.827523795864859,0.234527570921619,0.774429575490579,0.350898713076887,0.437966901608239,0.75283518636882,0.406962551397157,0.590478316886841,0.070453616893757
"Eosinophil",0.971048308512096,0.565404995142196,0.897304818621818,0.83382342198481,0.52204714632733,0.593293333691541,0.538118178391148,0.0897584560898227,0.51674165551625,0.96140387277738,0,0.24985580217174,0.370532806669943,0.768242407223753,0.293846871434855,0.437966901608239,0.903693217741265,0.447754151382415,0.974264060533252,0.338157248513176,0.437966901608239,0.204239259373489,0.500982716328063,0.112772790295697,0.548958788699276,0.0923172546101078,0.455169720215427,0.498379469245611
