"cell_type","case_n","control_n","case_mean","control_mean","delta_mean","p_value","p_adj","test_method"
"Activated_B_cell",12,12,0.177218667933448,0.18741658127249,-0.0101979133390425,1,1,"wilcox"
"Activated_CD4_T_cell",12,12,0.131415227095475,0.0651711993259917,0.0662440277694831,0.0449019952990878,0.419085289458153,"wilcox"
"Activated_CD8_T_cell",12,12,0.418245627967236,-0.0508281582145423,0.469073786181779,7.39602301050679e-07,2.0708864429419e-05,"wilcox"
"Activated_dendritic_cell",12,12,0.193484047892423,0.17840180184182,0.0150822460506036,0.755284828242158,0.961271599580928,"wilcox"
"CD56bright_natural_killer_cell",12,12,0.230254381829192,0.262640509988437,-0.0323861281592452,0.218920801906399,0.716643196620313,"wilcox"
"CD56dim_natural_killer_cell",12,12,0.0962371609665526,0.10129246876743,-0.00505530780087733,0.88738593483512,1,"wilcox"
"Central_memory_CD4_T_cell",12,12,0.382626959520347,0.354407158524044,0.0282198009963036,0.409510398068751,0.716643196620313,"wilcox"
"Central_memory_CD8_T_cell",12,12,0.0320982265036709,0.0260887794881105,0.00600944701556039,0.932300503373326,1,"wilcox"
"Effector_memeory_CD4_T_cell",12,12,0.192573360779804,0.180070381695447,0.0125029790843572,0.755284828242158,0.961271599580928,"wilcox"
"Effector_memeory_CD8_T_cell",12,12,0.283176883621293,0.276923728713161,0.00625315490813227,0.977402191293698,1,"wilcox"
"Eosinophil",12,12,0.119954041655179,0.117682484357142,0.00227155729803658,0.670659532955939,0.961271599580928,"wilcox"
"Gamma_delta_T_cell",12,12,-0.0662451286962697,-0.0910311937988953,0.0247860651026256,0.409510398068751,0.716643196620313,"wilcox"
"Immature_B_cell",12,12,0.289768999174724,0.311360700044521,-0.0215917008697967,0.197808114620606,0.716643196620313,"wilcox"
"Immature_dendritic_cell",12,12,0.00502415375870977,0.0541453715532184,-0.0491212177945086,0.26566958415121,0.716643196620313,"wilcox"
"Macrophage",12,12,0.0442670588614761,0.098410598939501,-0.0541435400780249,0.0284206976224744,0.397889766714642,"wilcox"
"Mast_cell",12,12,0.414225494521068,0.381064713479568,0.0331607810414993,0.218920801906399,0.716643196620313,"wilcox"
"MDSC",12,12,0.151061504570307,0.198112046110468,-0.0470505415401607,0.0887337860685552,0.496909201983909,"wilcox"
"Memory_B_cell",12,12,0.407524749695121,0.359227126906258,0.0482976227888631,0.347357918699957,0.716643196620313,"wilcox"
"Monocyte",12,12,0.117151375848187,0.093168341214475,0.0239830346337123,0.318585170382182,0.716643196620313,"wilcox"
"Natural_killer_cell",12,12,0.148481742928477,0.116750016184532,0.0317317267439454,0.0683614406861143,0.4785300848028,"wilcox"
"Natural_killer_T_cell",12,12,-0.101418266495132,-0.107538108766463,0.00611984227133083,0.977402191293698,1,"wilcox"
"Neutrophil",12,12,-0.283838495478056,-0.249240895757319,-0.0345975997207376,0.477575258232143,0.786594542970589,"wilcox"
"Plasmacytoid_dendritic_cell",12,12,-0.0748984849085112,-0.10624880944235,0.0313503245338392,0.26566958415121,0.716643196620313,"wilcox"
"Regulatory_T_cell",12,12,0.0497533392905043,0.00512532882802512,0.0446280104624792,0.409510398068751,0.716643196620313,"wilcox"
"T_follicular_helper_cell",12,12,0.267280133298008,0.261612154645321,0.00566797865268664,0.712535075639127,0.961271599580928,"wilcox"
"Type_1_T_helper_cell",12,12,0.129937247681414,0.107538148063605,0.0223990996178086,0.291342659225281,0.716643196620313,"wilcox"
"Type_17_T_helper_cell",12,12,0.261455034141414,0.263666537909383,-0.00221150376796853,0.670659532955939,0.961271599580928,"wilcox"
"Type_2_T_helper_cell",12,12,0.164633692482809,0.166532168400069,-0.00189847591726006,0.977402191293698,1,"wilcox"
