"cell_type","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","S12","S13","S14","S15","S16","S17","S18","S19","S20","S21","S22","S23","S24"
"Activated_B_cell",0.130612598900669,0.174756189859825,0.309264174661177,-0.050866448124813,0.175941087306011,0.12802436014052,0.198737362077339,0.241924313475569,0.124642629282592,0.28183991261344,0.206848404056594,0.204899430952448,0.12608633457256,0.267183279036005,0.12920451604794,0.0746721152533354,0.139375608851244,0.225582624511843,0.200682492286461,0.265939549797502,0.166219496870372,0.0952214232586097,0.257236273435313,0.301595261348695
"Activated_CD4_T_cell",0.0825402418866485,0.043312755535302,0.197865995673602,0.208833495559569,0.201531846517782,0.0807575689257048,0.113398574599655,0.00187480551949604,0.176231937164237,0.152023533990879,0.124070921902572,0.194541047870251,-0.0377574208359923,0.0906423880666724,-0.0563011629056559,-0.0276070318325827,0.0674940228990463,0.0657920872784891,0.0228147268361983,0.182011438799511,0.130675664829019,0.131763297215443,0.077188506794918,0.135337874766834
"Activated_CD8_T_cell",0.374721867754678,0.517709007327427,0.435694228959137,0.348514210919078,0.453021479025279,0.444261082048599,0.423834523027372,0.380535411045985,0.405223872100843,0.358014531373938,0.390585933160594,0.486831388863905,-0.0226397187661689,-0.0990931797507823,0.0726654457627923,0.0195096366681228,-0.0882510467303161,-0.14613136409887,-0.0284273601416924,-0.104660386656976,-0.0598084681916164,-0.0366939526169793,0.0241900660144161,-0.140597570066437
"Activated_dendritic_cell",0.0828624724535904,0.240073258021552,0.098899123711412,0.290612909271952,0.308317290980959,0.142231443856345,0.158924847648056,0.138132002797428,0.179987954241173,0.30968161113135,0.181256096093235,0.190829564502024,0.168937897788445,0.223709884352456,0.105870918876332,0.172589594150995,0.288874358573736,0.193983645671283,0.243686337975781,0.233698738222878,0.127685402194653,0.090700440835331,0.0971177759841158,0.193966627475829
"CD56bright_natural_killer_cell",0.121779892454677,0.238714021956622,0.239750699103523,0.224828561390581,0.191069864606629,0.203558345059131,0.260087755598188,0.230758939314258,0.260663901729884,0.211970195726164,0.270039363819015,0.309831041191635,0.253602781552157,0.336533951339567,0.309020248386858,0.249627427057267,0.220915116801472,0.268324946978611,0.223812723170772,0.237732863599991,0.209865348802932,0.228406957210175,0.284019135072092,0.329824619889356
"CD56dim_natural_killer_cell",-0.0162382167474583,0.151053117334649,0.159584027914552,0.326339126807571,0.128097430945123,0.0948210207878425,-0.0251926350442577,0.0461596290136824,0.0926654644162807,0.238561210285986,-0.102452572431384,0.0614483283160452,0.138580172655856,0.034164038295814,0.190014380084137,0.0897100615904336,-0.032829441117063,-0.00403425462708664,0.129904233758038,0.0796065798263301,0.125224725237326,0.129230656058665,0.10749252727278,0.228445946173929
"Central_memory_CD4_T_cell",0.39460384285709,0.322486351524505,0.374238580925407,0.325139944096651,0.299556855508289,0.450370087640652,0.413740956776075,0.329049593729285,0.376869753914657,0.553214278898335,0.3736725121921,0.378580756181123,0.301132704471692,0.38703520557739,0.355907956220444,0.490202461855795,0.354481841757897,0.381371708291092,0.251949772022781,0.354856420284955,0.35575214245409,0.333667061551267,0.403553521061197,0.282975106739927
"Central_memory_CD8_T_cell",-0.0267365248038332,-0.00107131561548159,0.0190345792662431,0.116843955465134,0.0111469551186468,0.00854817605531125,0.0953768107926005,-0.00333537271338467,-0.10513303373321,0.0454523730844166,0.113548639377238,0.11150347575037,0.0338624543207026,-0.0510778058589001,-0.0224395946038833,0.121402509739859,-0.0189531340354318,0.0387392981497962,0.0659657328648972,0.0467195419042704,0.0342056498871121,0.00606291116855742,0.0582052524490115,0.000372537871334379
"Effector_memeory_CD4_T_cell",0.243521808403689,0.152833179052234,0.158782529912453,0.231785343180072,0.173100569470723,0.254164893429729,0.158874495904048,0.241954422017275,0.295408000475589,0.139309595265754,0.1421524906891,0.118993001556985,0.193530698828187,0.164201707797417,0.141282742871936,0.119235903973071,0.150176976158728,0.21210250126383,0.162411521737079,0.309899630316599,0.122605741742317,0.157587266079056,0.266061884171996,0.16174800540515
"Effector_memeory_CD8_T_cell",0.263395828283048,0.27492071203869,0.2578580822043,0.393812010072739,0.370004560175868,0.355684410675779,0.157309601817605,0.334300616335687,0.217945946600193,0.301694528005228,0.174853503853341,0.296342803393037,0.189118463376093,0.279303093784379,0.212660672556184,0.266833168540071,0.0936976657715087,0.420875435162448,0.304271837604831,0.345340499524622,0.356626134556139,0.387275219692474,0.139860709329165,0.327221844660015
"Eosinophil",0.0354935509426996,0.303029844889513,0.0544332517986029,0.0893330419541305,0.123991432555746,0.0311347420228494,0.148403278823588,0.181943918060812,0.053882194635475,0.205812283608405,0.132155214575454,0.0798357459948687,0.239055721798482,-0.104022401393068,0.0157732468507947,0.162301803763396,0.0893770779160356,0.105249476734367,0.0596994586061411,0.173813667480095,0.182980132695397,0.204363443724988,0.208876070564535,0.0747221135445431
"Gamma_delta_T_cell",0.0222936021406847,-0.0982965489466629,-0.0973479843062417,-0.0585598337207181,-0.0697322054271633,-0.0063102302064909,-0.114623169437122,-0.137184309200798,-0.125721353962387,-0.155255639522853,0.01723942194016,0.0285567062943564,-0.0739455125147644,-0.118307250643894,-0.164138262578714,-0.105476457290068,0.056698433441735,-0.0366876462594431,-0.0645179146350213,-0.160214265071462,-0.146133912349499,-0.0678820969242438,-0.120212469543927,-0.0915569712174417
